,user,id,created_at,text
0,StressFreeYou1,867893084406726656,2017-05-26 00:00:10,The world is yours. All you have to do is grab hold of it. No-one else can do it for you. Want to know more?? #me... http://bit.ly/2ekKm3k pic.twitter.com/qWAI9gMSZ8
1,GFDougie,867893228216995841,2017-05-26 00:00:44,"My #boycott of @WinnDixie begins again due to lack of #respect for #me, a #Customer!"
2,GoodStuffToSee,867893380415619073,2017-05-26 00:01:21,Boxing became a legal sport in 1901. http://TheArtOfPamela.com/501  #cool #fun #omg #me #crazypic.twitter.com/J8REX3hCXW
3,CoachAscanio,867893440960507905,2017-05-26 00:01:35,"#SmithVaccoWedding
#love #ojai #instagood #me #smile #follow #cute #photooftheday #tbt #followme #girl #beautiful … http://ift.tt/2ql4PWN pic.twitter.com/yzKRX9B41V"
4,pvz100,867893548481433601,2017-05-26 00:02:01,"Lumlux Art

 Follow on http://www.instagram.com/lumluxarts 
#instagram #travel #design #fashion #food #life #me #you #funpic.twitter.com/9q6jsKzqoZ"
5,pvz100,867893603321905152,2017-05-26 00:02:14,"Lumlux Art

 Follow on http://www.instagram.com/lumluxarts 
#instagram #travel #design #fashion #food #life #me #you #funpic.twitter.com/6cL5lLoxFE"
6,thesushmitasen,867893668279091200,2017-05-26 00:02:29,I joined #instagram a year back for one reason only...to share with you the #real #me  to go… https://www.instagram.com/p/BUiONRpBf4q/ 
7,CaverNikolas,867893907744407553,2017-05-26 00:03:26,"Ama a las personas y usa las cosas, porque al revés nunca funciona.
#otoño #instaboy #boy #me… https://www.instagram.com/p/BUiOUUQBGG-/ "
8,cruzyorke,867894007971680257,2017-05-26 00:03:50,"#me
#weirdshit
#aesthetic
#aesthetics
#weed
#californiadreaming… https://www.instagram.com/p/BUiOXUjj3Yk/ "
9,Diana_monroyR,867894223588151297,2017-05-26 00:04:42,"Una foto de hoy a todo darks 
#Thursdaymood #me #sunnyday #happy #working #brunette #smile… https://www.instagram.com/p/BUiOdiDhsfk/ "
10,CESAR_AREVALO_,867894247650885632,2017-05-26 00:04:47,"
#selfie #selfienation #selfies #work #workout #me #love #pretty #handsome #instagood… https://www.instagram.com/p/BUiOeNwg7S8/ "
11,deadlyraine,867894740884234240,2017-05-26 00:06:45,"Goodmorning :D

#sports #breakfast #iba #unwind #SBPhilippines #asian #me #raine @ Starbucks… https://www.instagram.com/p/BUiOsldBMbq/ "
12,vakalaktika,867894746651529216,2017-05-26 00:06:46,Entre clases  #filthyglass #selfie #bathroomselfie #me #lizoae @ Facultad de Arquitectura CU… https://www.instagram.com/p/BUiOswfDmz3/ 
13,i_am_leethal,867894955125223424,2017-05-26 00:07:36,I can't sleep so thought I'd start sharing this again  #Shreddedin20 #leekiley #me… https://www.instagram.com/p/BUiOy47gYw4/ 
14,SureeratPMG,867894987555430400,2017-05-26 00:07:44,คำอวยพรใดเล่า...จะไพเพราะจับใจเท่าคำอวยพรของพ่อกับแม่ #me #mybirthdaypic.twitter.com/V5QjuXC1pp
15,bEAtFicVIBES,867895571398393856,2017-05-26 00:10:03,#author #book #share #amwriting #love #time #writing #amwriting #guys #girls #life #poem #read #writerslife #me #Inspiration #sharepic.twitter.com/xdnc6k8hO0
16,zaigums,867895594597089280,2017-05-26 00:10:09,"Summer ♕ 
#vsco #vscocam #zaiguu #me #flowers #gladiolus #selfie #girls @ Boise, Idaho https://www.instagram.com/p/BUiPE3Yl6Y7/ "
17,ChipWatson603,867895747240497156,2017-05-26 00:10:45,Roommate is reading louder than usual. Something must be bothering him. #me
18,CoaKoMocha,867895783487569920,2017-05-26 00:10:54,"#me  – ♫Conceited (There's Something About Remy) by @itsremyma, from #SoundHound with LiveLyrics®https://bnc.lt/Scoe/kiSf9Yj8pD "
19,jonaqt,867896083111792640,2017-05-26 00:12:05,"Convenciendo al tiempo que me deje suspirar. 
#boy #man #blackandwhite #thursday #me #myself… https://www.instagram.com/p/BUiPTq9BslR/ "
20,Roddypii,867896233993613312,2017-05-26 00:12:41,"Small mirror but big heart.. or not 
.
.
.
.
#me #boy #instaboy #mirrorpic #boots #sona… https://www.instagram.com/p/BUiPX50lGrb/ "
21,BeFitWithDFit,867896301987524608,2017-05-26 00:12:57,"#love yourself #exercise #eatclean 
_

_

_ •  #quoteoftheday #quote #me #instaquote… https://www.instagram.com/p/BUiPZyolp6N/ "
22,julieta_morris,867896383692431360,2017-05-26 00:13:17,"La revolución es orden (8 

#photography #me #black https://www.instagram.com/p/BUiPcakBV-E/ "
23,truth9098,867896866884771840,2017-05-26 00:15:12,"#islamophobia : !?#God #lord #jesus #bible #christ #atheism #atheist #kik #love #chat #me . https://twitter.com/sulsultm3/status/568448503363432449/photo/1pic.twitter.com/lEVFdYjv7b  . May 26, 2017 at 02:1…"
24,uchida1_maya,867896890557423616,2017-05-26 00:15:18,#mayauchida #music #singer #canon #love #like #randb #hiphop #soul #pop #japan #artist #me #djihttps://www.youtube.com/watch?v=1eSATVuGgJY …
25,TehSpacey,867897105368702980,2017-05-26 00:16:09,#Me ;)
26,pretty__lyrics,867897249321373696,2017-05-26 00:16:43,"고민은 떨쳐 버리고 달려가
내 진실한 심장 박동을 들어 봐
널 내 품에 안아, 다른 무엇이 더 중요할까
동화 속 이야기들처럼 아름다워
#Me #迷"
27,SecureYourName,867897363159015425,2017-05-26 00:17:10,Forward your #WAHM #ME #domain to your #blog
28,AlejandroStyles,867897387834101761,2017-05-26 00:17:16,"#yesterday #was a #very #special #day #for #me & #my #family
#brother #adrians #birthday and… https://www.instagram.com/p/BUiP5NjlMhy/ "
29,ax_aliki,867897440086765570,2017-05-26 00:17:29,#flower #summer #hibiscus #me pic.twitter.com/nh7j0UKs7R
30,TatiFilgueiras,867897556457607168,2017-05-26 00:17:56,"NÃO LEIA TÁ?
Eu disse que não era pra ler,
Aff você leu né?  #me #goodvibes #curioso #boanoite https://www.instagram.com/p/BUiP-eThQKf/ "
31,EcowarriorA,867897590481915904,2017-05-26 00:18:04,Ph: @pablotesoriere #me #boy #instaboy #nude #lights#green #gayboy #cute #inkboy #nudemale #men… https://www.instagram.com/p/BUiP_dnANNt/ 
32,harisopoulos,867897763484270592,2017-05-26 00:18:46,#Part #Two: and the rest of #Tee and #mE  #Happy #Friday everyone and bring on the #weekend … https://www.instagram.com/p/BUiQEjuDMms/ 
33,carriescloset1,867897847416582144,2017-05-26 00:19:06,#ootd #outfitoftheday #lookoftheday #Me #fashion #fashiongram #style #love #beautiful #currentlywearing #lookbook #wiwt #whatiwore #whatiwo…pic.twitter.com/ilnxEwSAyv
34,vJinxful,867898086361886720,2017-05-26 00:20:03,"Reposting @philly_mixtape:
#me #music #amberrose #philly #philadelphia #newyork #losangelespic.twitter.com/sUpSk84akh"
35,NYGiantsGirl821,867898897011748864,2017-05-26 00:23:16,"Happy #nationalwineday drinking from my favorite ""glass"" on my patio cause I'm outdoorsy like that #wineoclock #me pic.twitter.com/BgNQvpT0z8"
36,shaimaaraafat93,867899244639866880,2017-05-26 00:24:39,"هذا الفراغ لن يملأه سواك.
#ME"
37,felipev67260822,867899251862405121,2017-05-26 00:24:41,Lmao that's how it works right?  #gamer #videogames #pc #ps4 #gamebattles #xboxone #me… https://www.instagram.com/p/BUiQgGVFX6T/ 
38,MrMark110,867899361363197953,2017-05-26 00:25:07,#selfie #me #photobomb Play #BlobfishEvolution today! https://goo.gl/ZC1vev pic.twitter.com/Iv50E9S1Xs
39,Freddyprince3,867899564942086149,2017-05-26 00:25:55,"Diseño de aros de matrimonio!!  #love, #instagood, #me, #tbt, #cute, #follow, #followme,… https://www.instagram.com/p/BUiQ47zjXEC/ "
40,Bellabeilouni,867899626891956224,2017-05-26 00:26:10,#me #selfie #ThursdayThoughts #goodnight #goodnightsleep #face #thursdaynightlive #life #lifestyle #smile #peace #love #lighting #beautypic.twitter.com/LnQpqNfAtN
41,Ask_Ella,867899847617253376,2017-05-26 00:27:03,"Reposting @a_costantino:
Cercavo un posto tranquillo per leggere. Non fateci caso. #me #book #bookaddict #booklovers #bookblogger #lifestylepic.twitter.com/B92uWnl4mu"
42,LivingByDisney_,867899919478214658,2017-05-26 00:27:20,Huge thanks to @medievaltimesflorida for hosting us tonight to check out their dinner show! My instastory has all the details! #orlando #me… pic.twitter.com/jvRmL5XPqH
43,felipev67260822,867899984510939136,2017-05-26 00:27:35,Buahaha  #gamer #videogames #pc #ps4 #gamebattles #xboxone #me #gamergirl #westcoast #sony #tats… https://www.instagram.com/p/BUiRE7RF0Cq/ 
44,moncafe00n,867900070053543936,2017-05-26 00:27:56,資格試験勉強を継続させるコツ。疲労回復力を高める方法。 - 本文「疲労」を検索 - はてなブックマーク (8 users) http://htn.to/JD1JdK  ##ME #健康
