,user,id,created_at,text
0,ChicharitoMufc,13818438811,2010-05-12 00:15:03,#MUFC
1,hdkzii,13818764137,2010-05-12 00:21:21,Scholes seemed to have turned down the England offer in the last minute. #MUFC http://bit.ly/d5noaU
2,hdkzii,13818933877,2010-05-12 00:24:41,hmmm... SAF to offer Vidic for Benzema? don't think Benzema's worth it. #MUFC http://bit.ly/bdP0tg
3,blynx__,13823142120,2010-05-12 01:43:35,#mufc manchester united supporters are naturally ahead of you
4,GloryManUnited,13825947970,2010-05-12 02:35:22,"Capello tried to lure Paul Scholes, failed http://yhoo.it/bSUU5D #mufc"
5,jerryaod,13826449148,2010-05-12 02:44:54,"@iMxMEANxgaL Morning ja ,Hav a nice day kub #MUFC eiei"
6,taufik_adrian,13826802528,2010-05-12 02:51:43,"RT @glorymanunited: Capello tried to lure Paul Scholes, failed http://yhoo.it/bSUU5D #mufc"
7,ToyManU,13830133873,2010-05-12 03:59:46,สนใจสักลายนี้กันไหม? สาวก #united #manutd #mufc  http://twitpic.com/1n2umd
8,toyubomm,13830198311,2010-05-12 04:01:00,RT @ToyManU: สนใจสักลายนี้กันไหม? สาวก #united #manutd #mufc  http://twitpic.com/1n2umd /กลัวจะได้ตัวโอ ตัวเดียว
9,HarryOncy,13833851614,2010-05-12 05:29:26,"Did u know Manchester is also famous of Quadrophenia - Mods, The way of life... Not only #MUFC http://myloc.me/6XGws"
10,ManUnitedIndia,13833924152,2010-05-12 05:31:19,"God, I like seeing #ManUtd players in the World Cup. But dear God, do me a favor. Keep them safe!! #MuFC"
11,ManUnitedIndia,13835254437,2010-05-12 06:08:18,Given that Karim Benzema wil be sure fit wit No world cup! Is he a worthy signing for #ManUtd #Mufc next season ??
12,Nienoyzdrn,13837731350,2010-05-12 07:24:07,"RT @utdindonesia: So Carletto, Can You Keep Our Trophy Glistening? Cause We'll Be Back Next Year To Take it Away! #MUFC"
13,ManUnited_FFC,13838370893,2010-05-12 07:45:33,"Benzema hints at Real stay: 
Former Lyon striker Karim Benzema has dampened down speculation sugge... http://bit.ly/9JLWV2 #mufc #manunited"
14,HelenaCarry,13838701337,2010-05-12 07:56:55,Ugh he supports liverpool.... #mufc #redtillimdead
15,WEWANTGLAZEROUT,13838948052,2010-05-12 08:04:49,Love United! Hate Glazer! #luhg #mufc #ManUtd
16,MioFia,13839007748,2010-05-12 08:06:50,RT @WEWANTGLAZEROUT: Love United! Hate Glazer! #luhg #mufc #ManUtd
17,VintageScholesy,13839154525,2010-05-12 08:11:54,The sight of the new home and away kit of #ManUtd makes me sick...what was the designer thinking in the first place?? #MUFC
18,unitedrant,13840299731,2010-05-12 08:50:16,New Rant: Hargreaves: unfit or just fed up? http://bit.ly/9FYdeg #united #manutd #mufc
19,Laineybogs,13840364078,2010-05-12 08:52:25,"#nowplaying The Scaffold - Lily The Pink ( I've been singing to ""Eric the King"") a few weird looks in the office #mufc #united"
20,mr_ias,13840413807,2010-05-12 08:54:06,RT @unitedrant: New Rant: Hargreaves: unfit or just fed up? http://bit.ly/9FYdeg #united #manutd #mufc
21,BenHibbs,13840492591,2010-05-12 08:56:46,"So, World Cup squads being announced with a number of Reds involved... #mufc"
22,philgatt,13840513386,2010-05-12 08:57:28,RT @unitedrant: New Rant: Hargreaves: unfit or just fed up? http://bit.ly/9FYdeg #united #manutd #mufc <-Bit of both maybe.
23,BenHibbs,13840563846,2010-05-12 08:59:12,"Rooney, Carrick, Ferdinand (England); Vidic, Tosic (Serbia); Evra (France); Chicharito (Mexico); Nani (Portugal); Park (South Korea) #mufc"
24,Ifi_Ali,13840619396,2010-05-12 09:00:50,Love United! Hate Glazer! #luhg #mufc #ManUtd (via @WEWANTGLAZEROUT)
