,user,id,created_at,text
0,actionScript3,865618804319105024,2017-05-19 17:23:00,The #Shirelles - Will You Love Me Tomorrow http://youtu.be/c_cRHw8PAPA  #MusicVideo Музыка #Видео #Oldiespic.twitter.com/AR998RM4to
1,grDd7mWOAYLwGwl,865619022297141248,2017-05-19 17:23:51,Влог  #Софья и Петух! #Видео для детей #детский канал Веселая карусель https://youtu.be/A_Fhut3JavA  с помощью @YouTube
2,smi1info,865620578006380544,2017-05-19 17:30:02,https://smi1.info/15694-dw-novosti-za-100-sekund-02-02-2016.html … DW Новости за 100 секунд (02.02.2016) #news #новости #видео #smi1 #СМИ1pic.twitter.com/NzMlivJfcg
3,ntvru,865620618020106240,2017-05-19 17:30:12,Адвокат Ассанжа: «Мы добились поставленной цели. Ассанж счастлив и очень доволен» http://ntv.ru/novosti/1808659/ … #видео
4,Fedora73Danil,865620652270657537,2017-05-19 17:30:20,"Штирлиц сидит  у себя в кабинете и читает шифровку из Москвы.
    Вдруг в кабинет врывается... #Анекдот #Шутка #Юмор #Видео #Фото"
5,USEmbHell,865620892440825856,2017-05-19 17:31:17,"Россия между Ираном и Израилем и причём здесь Медведев?

#видео #политика #экономика #правительство #религияhttps://www.youtube.com/watch?v=NHfV2fcz06I …"
6,grDd7mWOAYLwGwl,865621706076938240,2017-05-19 17:34:31,влог Малышка  Софья и елка! #нарядили елку  #видео для детей  детский ка... https://youtu.be/CLwa1oUQGxA  с помощью @YouTube
7,Smex_vk,865621865758208000,2017-05-19 17:35:09,#видео #прикол #юмор #шутка  / #вступитьвгруппу #подписаться на Smex 16+ I юмор I приколы https://vk.cc/6F52n7 
8,Smex_vk,865621865783586817,2017-05-19 17:35:09,#видео #прикол #юмор #шутка  / #вступитьвгруппу #подписаться на Smex 16+ I юмор I приколы https://vk.cc/6F52n7 
9,extravalex,865622275747270656,2017-05-19 17:36:47,#демон овладел человеком прям на камеру в супермаркете (#видео) http://senseisekai.livejournal.com/4681234.html?utm_source=twsharing&utm_medium=social … #Малайзия #одержание #бесы #экзорцизм #ислам
10,actionScript3,865622327454838784,2017-05-19 17:37:00,#WhitneyHouston - I Will Always Love You  http://youtu.be/3JWTaaS7LdU  #MusicVideo #Музыка #Видео #Oldiespic.twitter.com/nTIMtsoqnd
11,extravalex,865622707743866881,2017-05-19 17:38:30,прием бесконтактного боя в #сумо - реальное #видео http://senseisekai.livejournal.com/4708596.html?utm_source=twsharing&utm_medium=social … #кошки #Япония #поединок #бесконтактныйбой #психология #цыгане
12,video360_club,865623227871002625,2017-05-19 17:40:34,"360° (VR) : ГРИБЫ Голосами Мультяшек
 #видео360 #панорамное #видео #VR #VRvideo #video360 #Oculushttps://www.youtube.com/watch?v=uTDUMxg2AkQ …"
13,extravalex,865623498378461185,2017-05-19 17:41:39,собака собаке рознь: собака-телохранитель (Израиль) http://senseisekai.livejournal.com/4709990.html?utm_source=twsharing&utm_medium=social … #видео #охрана #Израиль #защита #террор #собака #помощь
14,extravalex,865623602963533824,2017-05-19 17:42:04,Полет облок над вагон http://senseisekai.livejournal.com/4710150.html?utm_source=twsharing&utm_medium=social … #цитата #видео #слово #стёб #demie #русские #язык #юмор
15,ntvru,865623801777733632,2017-05-19 17:42:51,На постсоветском пространстве Белоруссия стала локомотивом развития пионерского движения http://ntv.ru/novosti/1808641/ … #видео
16,actionScript3,865624089028739073,2017-05-19 17:43:59,The #Beatles - Rooftop Performance https://vimeo.com/95681569  #MusicVideo #Музыка #Видео #Oldiespic.twitter.com/KASfLKLGBn
17,USEmbHell,865624443539734528,2017-05-19 17:45:24,"Может ли телевизор заменить мозг? + English Subtitles

#видео #политика #экономика #правительство #религия #россияhttps://www.youtube.com/watch?v=9cV96924SQQ …"
18,RIANUkraine,865624671529521152,2017-05-19 17:46:18,"Появилось видео, где Эрдоган наблюдает за избиением демонстрантов в США http://dlvr.it/PBR44Q  #Видео pic.twitter.com/4RJ4j8iWLv"
19,grDd7mWOAYLwGwl,865625225701896194,2017-05-19 17:48:31,#Дети танцуют  #Парные танцы #видео для детей #детский канал Веселая кар... https://youtu.be/UtJdkTSOsyY  с помощью @YouTube
20,actionScript3,865625598030266368,2017-05-19 17:49:59,#NYJETS THEME SONG - RIP @BillZucker Band http://youtu.be/KW666UxkIkw  #MusicVideo #Музыка #Видео #TeamZucker
21,actionScript3,865625851068432384,2017-05-19 17:51:00,#BillyPreston - Nothing From Nothing https://youtu.be/ubIt94oLaBI  #MusicVideo #Музыка #Видео #Oldies #Soulpic.twitter.com/P55aUdiBIp
22,grDd7mWOAYLwGwl,865626025035669504,2017-05-19 17:51:41,Влог  #Софья и Петух! #Видео для детей #детский канал Веселая карусель https://youtu.be/A_Fhut3JavA  с помощью @YouTube
23,ntvru,865627215861395457,2017-05-19 17:56:25,Мощи Николая Чудотворца впервые привезут в Россию. Поклониться им можно будет в Москве и Санкт-Петербурге http://ntv.ru/novosti/1808660/ … #видео
24,actionScript3,865627612269264897,2017-05-19 17:58:00,Sinéad O'Connor - Nothing Compares 2U http://youtu.be/C6MNvjrScyo  #MusicVideo #Музыка #Видео #Oldiespic.twitter.com/EGPdAZNYL9
25,USEmbHell,865628553609568256,2017-05-19 18:01:44,"Действия спецназа ВВО при выполнении задач по ликвидации условного НВФ

#видео #политика #экономика #правительствоhttps://www.youtube.com/watch?v=qnI_DPeMMWw …"
26,actionScript3,865629374187421698,2017-05-19 18:05:00,#Beatles- Hello Goodbye  https://youtu.be/rblYSKz_VnI  #MusicVideo #Музыка #Видео #Oldiespic.twitter.com/5qWeJFdBHN
27,ofvideoup,865629399441219584,2017-05-19 18:05:06,"Касается каждого. Чужой грех 19.05.2017
http://ofvideoup.com/news/kasaetsja_kazhdogo_chuzhoj_grekh_19_05_2017/2017-05-19-3323 …
9-месячную Свету бросили умирать на железнодорожных рель...
#видео #смотреть"
28,Art_Erotica_HD,865629856242978816,2017-05-19 18:06:55,Смотреть Эротические Фильмы Кино Сериалы Онлайн 720p 1080p HD FullHD  / #Эротика #Видео #Пошлое #Кино #Фильм #Сек..https://vk.cc/6F5uUy 
29,ololo_tv,865630272263299072,2017-05-19 18:08:34,Инструмент для создания звуковых эффектов в фильмах ужасов. #видео #видео #музыка #фильм - https://ololo.tv/2017/05/instrument-dlya-sozdaniya-zvukovyx-effektov-v-filmax-uzhasov-video/ …pic.twitter.com/sOv6dwrAeE
30,ofvideoup,865630688233504769,2017-05-19 18:10:13,"60 минут 19.05.2017
http://ofvideoup.com/news/60_minut_19_05_2017/2017-05-19-3324 …
Перед тем, как сесть за руль, он курил марихуану, на видео видно,...
#видео #смотреть"
31,15_igr,865630924720840704,2017-05-19 18:11:09,#Left 4 Dead 2 — ДРОБОВИК ПРОТИВ ЗОМБИ! #Androidигры #PC #ВИДЕО #игры #ИгрынаАндроид #Онлайнфлешигры http://15-igr.ru/2017/05/download-and-video-games/left-4-dead-2-drobovik-protiv-zombi.html …pic.twitter.com/XwnsWulvJ4
32,actionScript3,865631135581196289,2017-05-19 18:12:00,#BillyPreston - Outta Space https://youtu.be/fHfw4bNYZqY  #MusicVideo #Музыка #Видео #Oldies #Soulpic.twitter.com/nH6DBquuUM
33,bulgarica,865631173938094080,2017-05-19 18:12:09,#Омбудстман #МаяМанолова зад #българитевчужбина и правото им на #гласуване (#видео - #ексклузивно инт http://www.bulgarica.com/2016/05/19/%d0%bd%d0%be%d0%b2%d0%b8%d0%bd%d0%b8/%d0%be%d0%bc%d0%b1%d1%83%d0%b4%d1%81%d1%82%d0%bc%d0%b0%d0%bd-%d0%bc%d0%b0%d1%8f-%d0%bc%d0%b0%d0%bd%d0%be%d0%bb%d0%be%d0%b2%d0%b0-%d0%b7%d0%b0%d0%b4-%d0%b1%d1%8a%d0%bb%d0%b3%d0%b0%d1%80%d0%b8%d1%82/ … via @bulgarica
34,vvoron,865631184130260994,2017-05-19 18:12:11,Опробоали #коптер для съемок с воздуха. Прикольное #фото получилось #съемка #видео #Музыкаpic.twitter.com/FgB5M5hUVp
35,ntvru,865631494080876545,2017-05-19 18:13:25,#Видео операции на открытом сердце ребенку показали в Интернете в прямом эфире http://ntv.ru/novosti/1808642/ …
36,polupianoff,865631948701548544,2017-05-19 18:15:13,"В ЛНР задержана украинская ДРГ http://colonelcassad.livejournal.com/3427657.html?utm_source=twsharing&utm_medium=social … #видео
#Украина #МГБЛНР #войнанаУкраине #Новороссия #ЛНР #терроризм"
37,USEmbHell,865632011150426117,2017-05-19 18:15:28,"Все хотят на Евровидение + English Subtitles

#видео #политика #экономика #правительство #религия #россияhttps://www.youtube.com/watch?v=fKR_WzdYdZQ …"
38,koles2010,865632591088504832,2017-05-19 18:17:47,Мощи Николая Чудотворца впервые привезут в Россию. Поклониться им можно будет в Москве и Санкт-Петербурге http://ntv.ru/novosti/1808660/ … #видео
39,actionScript3,865632897306316800,2017-05-19 18:19:00,#MoodyBlues Im Just A Singer In A Rock & Roll Band https://youtu.be/N_J-hmyAS6c  #MusicVideo #Музыка #Видео #Oldiespic.twitter.com/7XETdLSuw7
