id,created_at,text
870428344256430082,2017-06-01 23:54:23,#photography #canon #canonphoto #photooftheday #artist #art #lightroom #edit https://t.co/X29z8xnp6k
870427140444925952,2017-06-01 23:49:36,"L'amour
.
.
.
.
.
#adobe #lightroom #texturesofboredom #kamotegraphy #kamotecaptures… https://t.co/vjeRifJrTX"
870424976020656135,2017-06-01 23:41:00,RT @lrpresetshoppe: Become A Professional Photography Lightroom Editing Ninja -&gt; https://t.co/sWpL7CH4dI #lightroom #photography https://t.…
870424737457070080,2017-06-01 23:40:03,RT @AnthonyMorganti: Lightroom Quick Tips - Episode 80: Radial Filter Tip - #Photography #Lightroom #Photoshop https://t.co/AwQlTBic5q
870423087715684353,2017-06-01 23:33:30,"RT @HeitorPics: ☁️☁️
.
.
.
.
#lightroom #vsco #vscocam #afterlight #photography #photooftheday #like ⁰#follow… https://t.co/39dxSg3z3K"
870419716032090112,2017-06-01 23:20:06,"°Egg Yolk Jelly°
.
.
.
.
.
#photography #lightroom #jellyfish @ Monterey Bay Aquarium https://t.co/XugOBgv2SW"
870418393618415617,2017-06-01 23:14:51,"Claudita La Tuks #portrait
#lightroom #winter #fashion #beauty #women
M: @clau_ro_ @ Surco,… https://t.co/j9RfEi67aZ"
870417754138005506,2017-06-01 23:12:18,Learn Lightroom 6 / CC Episode 8: Processing Workflow Pt. 1 - #Photography #Lightroom #Photoshop https://t.co/BYHqDghHhA
870415831439560705,2017-06-01 23:04:40,初心者のための「Adobe Lightroom」現像例－逆光の山岳写真（青空と光芒と雲海） https://t.co/lHUqa20p4x  #Lightroom #RAW現像
870415458129690624,2017-06-01 23:03:11,RT @ni_yan0229: #ゆづ #ポカリスエット #ポートレート #portrait #photography #Lightroom https://t.co/jVH5wcMs9g
870415429004603393,2017-06-01 23:03:04,RT @mashableng: Archive: #Adobe to Restore the #Old #Lightroom #Import #Dialog https://t.co/rTDUw1dRL5
870415273567891456,2017-06-01 23:02:27,RT @lrpresetshoppe: Become A Professional Photography Lightroom Editing Ninja -&gt; https://t.co/sWpL7CH4dI #lightroom #photography https://t.…
870413287959212032,2017-06-01 22:54:34,RT @serge_labbe: Bonne nuit : #Québec #Image #Canon #Flickr #Photo #Photography #Picture #Lightroom #PhotoDeRue https://t.co/uQYnE0NbIW
870411957991612416,2017-06-01 22:49:16,RT @AnthonyMorganti: Lightroom Quick Tips - Episode 80: Radial Filter Tip - #Photography #Lightroom #Photoshop https://t.co/AwQlTBic5q
870411632492634112,2017-06-01 22:47:59,"RT @QUEEN_FOSSIL: 5Dmark2の時のようにRAWをLightRoomで仕上げたけど滑らかさ感は伝わるでしょうか？

#lightroom #raw #raw現像 #24105mm #5dmkiv… https://t.co/FO18T80eQz"
870409404851605504,2017-06-01 22:39:08,"Uetliberg, Zurich CH.

#dji #Mavic #mavicpro #aerialphotography #drone #uas #UAV 

#Lightroom… https://t.co/6EQJaigG9A"
870408215837552640,2017-06-01 22:34:24,RAW現像ソフト【Lightroom】の最初のハードル「カタログ」を乗り越える！ https://t.co/FS5ZOG8Bz5 #Lightroom #RAW現像
870407361583865856,2017-06-01 22:31:01,"RT @PhotoWorkout: We found this super pack of premium presets for just $29  &gt;&gt; https://t.co/QxGz14L6rd 

#Lightroom #Presets #Photography h…"
870407278951890944,2017-06-01 22:30:41,RT @serge_labbe: Bonne nuit : #Québec #Image #Canon #Flickr #Photo #Photography #Picture #Lightroom #PhotoDeRue https://t.co/uQYnE0NbIW
870406474253709316,2017-06-01 22:27:29,The latest The Presets Heaven Daily! https://t.co/rFUfGpMxt0 Thanks to @RBaraoGeraldo @lwphotographer @mg_komukai #lightroom #photography
870403177287483394,2017-06-01 22:14:23,"I uploaded a new episode, ""#194 - Lightroom People View"", on #spreaker #adobe #lightroom #people #photography101 https://t.co/iROXJqLu8L"
870402958000783361,2017-06-01 22:13:31,"RT @wallis_photo: Which Way Now?

#wallisphotography #wallisphotographyuk #lightroom #lightroom5 #lightroomgroup… https://t.co/EYeMGC6Oms"
870402882713133060,2017-06-01 22:13:13,RT @AnthonyMorganti: Learn Lightroom 6 / CC - Episode 13: Loose Ends - #Photography #Lightroom #Photoshop https://t.co/MjAQYOTTmi
870402380784967682,2017-06-01 22:11:13,Learn Lightroom 6 / CC - Episode 11: Create a Panorama - #Photography #Lightroom #Photoshop https://t.co/v8R87VoEZx
870400998837174272,2017-06-01 22:05:44,https://t.co/DasuyB0ZPx I'm quite pleased with how this turned out! #lightroom #500px #photography #cornwall #boscastle
870398319494823936,2017-06-01 21:55:05,"RT @BrooksGraphics_: A sneaky preview of shots taken this evening...
#photography #photographer #edit #lightroom #stone #staffordshire #tow…"
870397954691084289,2017-06-01 21:53:38,faudrait que je diminue un peu le bleu #lightroom https://t.co/hrhd5n9vER
870396806382981120,2017-06-01 21:49:04,"A sneaky preview of shots taken this evening...
#photography #photographer #edit #lightroom #stone #staffordshire… https://t.co/GnrKrIJHiN"
870396119733477379,2017-06-01 21:46:20,RT @OfficialJacenG: Ezio is a chill mo-fo and he knows it. #Cat #CatsOfTwitter #adobe #lightroom #samsung https://t.co/jsBoDogFkm
870392288047800321,2017-06-01 21:31:07,"How to Shoot, Merge and Edit Vertoramas with Lightroom &amp; Photoshop CC - PLP #152 #photoshop #lightroom https://t.co/1Z3f0IYB9H"
870390173066022912,2017-06-01 21:22:42,"☁️☁️
.
.
.
.
#lightroom #vsco #vscocam #afterlight #photography #photooftheday #like ⁰#follow… https://t.co/39dxSg3z3K"
870388615624486916,2017-06-01 21:16:31,#vc100 #フューチャーインセラム #美容液 #ビタミンc誘導体 #スキンケア好き #写真散歩 #展望台 #lightroom #2017年6月2日 https://t.co/1UoQtpmNje https://t.co/n6K5gLCcNU
870387812448612352,2017-06-01 21:13:20,RT @ni_yan0229: #ゆづ #ポカリスエット #ポートレート #portrait #photography #Lightroom https://t.co/jVH5wcMs9g
870387372269092864,2017-06-01 21:11:35,Welcome! @GreenmanPhotos Learn how to streamline Ur #Photo #Editing Process with Adobe #Lightroom… https://t.co/qFJjL90H8B
870387267231199233,2017-06-01 21:11:10,I Critique and Process YOUR Image - Episode 26: Konstantin - #Photography #Lightroom #Photoshop https://t.co/2epNirw4fd
870375797177147397,2017-06-01 20:25:35,Cinematic Vibes Lightroom Presets by @@jjfarquitectos on @CreativeMarket https://t.co/a8XrZrCgFj #photography #Lightroom
870372775327928320,2017-06-01 20:13:35,The RussellReno Daily 2013 is out! https://t.co/BzxIjkn8bk Stories via @AnnFixthephoto @BorrowLenses @BetterPhoto1 #lightroom #photography
870372143791583232,2017-06-01 20:11:04,"Estilo #vintage para tus fotos. #presets para #lightroom. No te lo pierdas!
https://t.co/xdgfem1Yug https://t.co/QhjzibAooZ"
870372135658803200,2017-06-01 20:11:02,Patreon - #Photography #Lightroom #Photoshop https://t.co/Cceb4Abgpo
870369419456765954,2017-06-01 20:00:14,INTRODUCTION Lightroom 4 Quickstart tutorial by Serge Ramelli #photoshop #lightroom https://t.co/ip9hBqyVpp
