id,created_at,text
872240876889788417,2017-06-06 23:56:45,"Когда зашёл разговор о ЕГЭ
#ШкольникиФолловятЕГЭ https://t.co/ONEe7JQToQ"
872239807405199360,2017-06-06 23:52:30,"Зачем я выбрала #егэлитература ??
Прям вопрос вопросов.
#школьникифолловятегэ #егэ2017 #литература"
872239507663466498,2017-06-06 23:51:18,"#ШкольникиФолловятЕГЭ
Взаимно. https://t.co/N6z2CNu0Ff"
872239335596335109,2017-06-06 23:50:37,"Взаимная😊
#ШкольникиФолловятЕГЭ"
872239286061600768,2017-06-06 23:50:25,"RT @vladislavmlv: как я буду сдавать егэ в следующем году 

#школьникифолловятегэ https://t.co/4Mc3hhKrff"
872238820594515969,2017-06-06 23:48:34,"RT @shi__ni: а можно я херню тут замучу?
спасибо ахаха
рт - сдашь
игнор - провалишь
 #ШкольникиФолловятЕГЭ"
872238471699673088,2017-06-06 23:47:11,RT @melissa73596334: WTF DOES THIS HASHTAG MEAN. #ШкольникиФолловятЕГЭ
872238377168490496,2017-06-06 23:46:49,#ШкольникиФолловятЕГЭ https://t.co/u2nJAxmg5H
872237942382751744,2017-06-06 23:45:05,"#ШкольникиФолловятЕГЭ
Хоо, всем удачной физики 🚀"
872237351992471552,2017-06-06 23:42:44,"Нахуй спать в 4:36.
#ШкольникиФолловятЕГЭ https://t.co/Y8DRVtsskm"
872235002179747840,2017-06-06 23:33:24,#ШкольникиФолловятЕГЭ pico pal q lee
872234256264777729,2017-06-06 23:30:26,"Почему нет такого хэштэга, когда вместе ЕГЭ - ОГЭ)0)) 
#ШкольникиФолловятЕГЭ"
872233938030391296,2017-06-06 23:29:10,"RT @LDSVDL: Проверяющий, когда ты находишься в туалете больше 10 секунд
 #ШкольникиФолловятЕГЭ https://t.co/3ULVOZ0KTO"
872233573448916992,2017-06-06 23:27:43,"Взаимная😊
#ШкольникиФолловятЕГЭ"
872232988439916545,2017-06-06 23:25:24,"ЛЕНТ, ГО ВЗАИМНО  #ШкольникиФолловятЕГЭ https://t.co/Q6hT9Esn5Q"
872232754217353219,2017-06-06 23:24:28,"RT @Lizoc3: 💕Фолловь меня
💕Делай рт
💕Фолловь ретвитнувших
💕Получай фолловеров
#ЦепочкаФолловеров
#ШкольникиФолловятЕГЭ
#ЦепочкаТвиттерских…"
872232502362087424,2017-06-06 23:23:28,"RT @we_tdn: Рт и все сдашь
#ШкольникиФолловятЕГЭ"
872232136304205825,2017-06-06 23:22:01,"RT @rikky_too: Когда перед экзаменом спрашивают, волнуешься ли ты #ШкольникиФолловятЕГЭ https://t.co/kxp3AsDklB"
872232112526589952,2017-06-06 23:21:55,"RT @tvoyboyfriend: 🌸Читай меня🌸
🌸Я взаимный🌸
🌸Делай ретвит🌸
🌸Читай ретвитнувших🌸
 #ШкольникиФолловятЕГЭ 
#ЦепочкаФолловеров 
#ЦЕПОЧКАТВИТТЕ…"
872232038694346752,2017-06-06 23:21:37,"#ШкольникиФолловятЕГЭ
Взаимнаааа"
872229052534456321,2017-06-06 23:09:46,#ШкольникиФолловятЕГЭ https://t.co/4a2aKz4jjw Го в инст взаимно)
872228765912510464,2017-06-06 23:08:37,#ШкольникиФолловятЕГЭ В З А И М Н О
872228606977691648,2017-06-06 23:07:59,"#ШкольникиФолловятЕГЭ, но мне наплевать, я в шараге"
872228249430085633,2017-06-06 23:06:34,"#ШкольникиФолловятЕГЭ
🍓Я искренне надеюсь,что вы не умрете🍓
Удачи!!!)))🍍🍍🍍🍍"
872227759627665408,2017-06-06 23:04:37,#ШкольникиФолловятЕГЭ В З А И М Н О
872227501916999681,2017-06-06 23:03:36,"???
#ШкольникиФолловятЕГЭ"
872227250355281920,2017-06-06 23:02:36,#ШкольникиФолловятЕГЭ В З А И М Н О
872226874650497024,2017-06-06 23:01:06,"RT @satanapriynil: #ШкольникиФолловятЕГЭ

Я после всех ЕГЭ: https://t.co/OouVhvEZpb"
872226632433623040,2017-06-06 23:00:09,"RT @hosirixu: давайте ффс по фасту
с вас фоллоу и рт - с меня 15 ффс 
анфоллоу меня = анфоллоу вас
#ШкольникиФолловятЕГЭ https://t.co/bU84f…"
872226408625577984,2017-06-06 22:59:15,#ШкольникиФолловятЕГЭ В З А И М Н О
872226289733836800,2017-06-06 22:58:47,"RT @hosirixu: давайте ффс по фасту
с вас фоллоу и рт - с меня 15 ффс 
анфоллоу меня = анфоллоу вас
#ШкольникиФолловятЕГЭ https://t.co/bU84f…"
872226243244171265,2017-06-06 22:58:36,"#ШкольникиФолловятЕГЭ
🍓Я искренне надеюсь,что вы не умрете🍓
Удачи!!!)))🍍🍍🍍🍍"
872225901798412288,2017-06-06 22:57:14,"RT @hosirixu: давайте ффс по фасту
с вас фоллоу и рт - с меня 15 ффс 
анфоллоу меня = анфоллоу вас
#ШкольникиФолловятЕГЭ https://t.co/bU84f…"
872225437052788736,2017-06-06 22:55:24,"RT @Lizoc3: 💕Фолловь меня
💕Делай рт
💕Фолловь ретвитнувших
💕Получай фолловеров
#ЦепочкаФолловеров
#ШкольникиФолловятЕГЭ
#ЦепочкаТвиттерских…"
872225262498394112,2017-06-06 22:54:42,"RT @sweetdream2040: #школьникифолловятегэ
Продавцы черных гелевых ручек в дни экзаменов : https://t.co/8xthrMPuGz"
872225206496100355,2017-06-06 22:54:29,"RT @another_world69: #школьникифолловятЕГЭ
-Последний совет перед ЕГЭ ?
- Постарайся выжить https://t.co/MQwWOwSywH"
872225140624547844,2017-06-06 22:54:13,"RT @tvoyboyfriend: 🌸Читай меня🌸
🌸Я взаимный🌸
🌸Делай ретвит🌸
🌸Читай ретвитнувших🌸
 #ШкольникиФолловятЕГЭ 
#ЦепочкаФолловеров 
#ЦЕПОЧКАТВИТТЕ…"
872225061691940864,2017-06-06 22:53:54,"Я взаимная 
#ШкольникиФолловятЕГЭ"
872225001495285760,2017-06-06 22:53:40,"RT @rikky_too: Когда перед экзаменом спрашивают, волнуешься ли ты #ШкольникиФолловятЕГЭ https://t.co/kxp3AsDklB"
872224933488848898,2017-06-06 22:53:23,"RT @LDSVDL: Проверяющий, когда ты находишься в туалете больше 10 секунд
 #ШкольникиФолловятЕГЭ https://t.co/3ULVOZ0KTO"
872224554592215040,2017-06-06 22:51:53,"1:51
эх щас бы на экзамен в семь утра вставать 
#ШкольникиФолловятЕГЭ"
872224514872152065,2017-06-06 22:51:44,#ШкольникиФолловятЕГЭ девки все взаимно давайте
872224045512753153,2017-06-06 22:49:52,"#ШкольникиФолловятЕГЭ
Давайте-ка взаимно 😍"
872223513746321408,2017-06-06 22:47:45,"RT @yoursheaven: добро пожаловать в мою жизнь
#ШкольникиФолловятЕГЭ https://t.co/ZNweP3VP0Z"
872223499213058048,2017-06-06 22:47:41,"RT @ebnutaya_baba: после егэ:
  #ШкольникиФолловятЕГЭ https://t.co/PmYCLT73uq"
872223436885684226,2017-06-06 22:47:27,"RT @LDSVDL: Проверяющий, когда ты находишься в туалете больше 10 секунд
 #ШкольникиФолловятЕГЭ https://t.co/3ULVOZ0KTO"
872223391494926336,2017-06-06 22:47:16,"RT @pyramidon12: РТ и я вам кину книгу, которая ассоциируется у меня с вашим акк
#ШкольникиФолловятЕГЭ https://t.co/wd3X983z3F"
872223272972242944,2017-06-06 22:46:48,"добро пожаловать в мою жизнь
#ШкольникиФолловятЕГЭ https://t.co/ZNweP3VP0Z"
872223267758759936,2017-06-06 22:46:46,RT @naran_official: Рт и тебе попадется легкий вариант #ШкольникиФолловятЕГЭ
872223240177025024,2017-06-06 22:46:40,RT @ArsenShyt: #взаимно💖 #ШкольникиФолловятЕГЭ https://t.co/atQpaiv1hb
872222720649560065,2017-06-06 22:44:36,"Заебывать свою учительницу в 2 часа ночи как смысл жизни 
#ШкольникиФолловятЕГЭ https://t.co/RnIdbkhY9D"
872222525958258688,2017-06-06 22:43:49,"Смотрящий,когда ты находишься в туалете больше 10 секунд.#ШкольникиФолловятЕГЭ https://t.co/xBE11jT0o1"
872222166590169088,2017-06-06 22:42:24,RT @naran_official: Рт и тебе попадется легкий вариант #ШкольникиФолловятЕГЭ
872222100593004544,2017-06-06 22:42:08,"#ШкольникиФолловятЕГЭ
🍓Я искренне надеюсь,что вы не умрете🍓
Удачи!!!)))🍍🍍🍍🍍"
872222075926310912,2017-06-06 22:42:02,"Очень хочу написать список своих любимых персонажей! 🌸
Го1  фав = 1 персонажу
 #ШкольникиФолловятЕГЭ https://t.co/6Ub3J1jzLF"
872221899450970112,2017-06-06 22:41:20,"#ШкольникиФолловятЕГЭ
Кто сдает сегодня физику, удачи!
Выбирайте формулки покрасивее, если подзабыли. Говорят, помогает 
:D"
872221554704297984,2017-06-06 22:39:58,"RT @FIZORASINA: Когда решил порешать ЕГЭ
#ШкольникиФолловятЕГЭ https://t.co/wudDF8DtiD"
872220566807343104,2017-06-06 22:36:02,"#школьникифолловятЕГЭ Как готовится к экзу, если человек который тобой любим, поёт что она ошибка?!#mtvклассныйчас https://t.co/sm7NMyyNZZ"
872220332597399552,2017-06-06 22:35:07,"RT @ebnutaya_baba: после егэ:
  #ШкольникиФолловятЕГЭ https://t.co/PmYCLT73uq"
872220123192582144,2017-06-06 22:34:17,"#ШкольникиФолловятЕГЭ
я взоимная кстоте если что"
872220092062367744,2017-06-06 22:34:09,"#ШкольникиФолловятЕГЭ
литру сдать можно спокойно если вы на среднем уровне знаете курс школьной литры, это изи, я вам глаголю"
