id,created_at,text
872236858960470017,2017-06-06 23:40:47,Excited to partner with Ohlde Seed Farms as the marketer for Torrington #canola #winter #hardiness @OhldeS https://t.co/sLBHiSRDvF
872236826232225793,2017-06-06 23:40:39,RT @steamingboots: Upper reaches of Rannoch Moor #winter https://t.co/JquY3xbAML
872236385922555905,2017-06-06 23:38:54,"If I put my kit on, that's pretty much the same as going for a ride, right? #winter #cyclistproblems #whysocoldtho"
872236175687340032,2017-06-06 23:38:04,"RT @dbbrs: #photography #winter #Minnesota #Ely 

Winter Blues https://t.co/DeDvCqF7Ma"
872235362676027394,2017-06-06 23:34:50,RT @eNCAWeather: #WinterStorm to bring heavy #snow to the SW Cape mountains &amp; around Sutherland in NC. #winter #Capestorm #eNCA https://t.c…
872235319126507520,2017-06-06 23:34:40,RT @youralarmbells: Season's first wattle blooming to charm the exam-takers #winter @unimelb https://t.co/JdAzEZjbPv
872235185034731520,2017-06-06 23:34:08,RT @MistralKDawn: #Paranormal #Romance Guild's 5* #Review of #Captivated By The #Winter #King! https://t.co/Z7DHu3ARFT https://t.co/ktYNAFg…
872234734444847104,2017-06-06 23:32:20,s t y l e  c r u s h ☆ #pink #winter #french #style #love https://t.co/TOB0rlq3zt https://t.co/DRUAGHzdCz
872233404938539012,2017-06-06 23:27:03,"Appreciate the absolutely stunning wonder and beauty that winter can bring!
.
.
.
.
.
image thanks to Karl Steinegg… https://t.co/ENf0cOBvHq"
872233377625255939,2017-06-06 23:26:57,"RT @ancientorigins: #Beira, Queen of #Winter - https://t.co/Yl1mEklkHW
#mythology https://t.co/k0NQgAlSNl"
872233140894543873,2017-06-06 23:26:00,"Gazing at the backyard pile of firewood waiting for #winter already 👀🌬 
The heat intolerance is… https://t.co/08mFub5e3H"
872232920034967553,2017-06-06 23:25:08,They may be #Winter Fae but there's nothing cold about this #romance! #Free w/#KindleUnlimited… https://t.co/H5Dv6ABkW7
872232885075496960,2017-06-06 23:24:59,"RT @ancientorigins: #Beira, Queen of #Winter - https://t.co/Yl1mEklkHW
#mythology https://t.co/k0NQgAlSNl"
872232443914235904,2017-06-06 23:23:14,Welcoming #Winter from the top of Down Under  :)          #snow #Australia #adventure #Explore #Kosciuszko… https://t.co/JJdCZzkFM1
872232325089775616,2017-06-06 23:22:46,Loving the rainy cold weather. #writingweather #winter #teatime https://t.co/aIuuAatwAQ
872232302222479365,2017-06-06 23:22:40,Loving the rainy cold weather. #writingweather #winter #teatime https://t.co/KWzg5b97qe
872231030182301698,2017-06-06 23:17:37,"#Autumn colours in an #austral #winter 
#joulesclothing #cathkidston #gola #handmadescarf #scarf… https://t.co/KxtGCa8cdN"
872231022385131520,2017-06-06 23:17:35,5 tips on using portable generators over the #winter https://t.co/jiRJFSavuo #portablegenerator
872230795888517120,2017-06-06 23:16:41,"RT @MADTOWN_BRASIL: [INSTAGRAM/HO] Segundo #JungJunIl #Winter

https://t.co/NGvPVPvLV3 https://t.co/7nsQ9IDN8M"
872230443051085825,2017-06-06 23:15:17,продам гбо 4 поколения Харьков #winter https://t.co/HW1ezleAqC
872229727288819712,2017-06-06 23:12:26,"Perdonate y no te juzgues, vas a necesitarte fuerte.
#agua #fuente #photo #winter https://t.co/n1e5Sb0Pta"
872229534602584064,2017-06-06 23:11:40,"RT @sardines4tea: Feels like #winter 
Anyone want 2 #knit ?
Download Doug the #pug #etsyshop https://t.co/Fze8948131
#rain #knitting #Tuesd…"
872228225027420160,2017-06-06 23:06:28,yesterday 620/1600 10km #ft 1kg #wt 0.3 ltr #h20 20 #ex #pt #winter
872228120023126017,2017-06-06 23:06:03,"RT @goodsta82: ""Oh, hey there winter"" #VisitSunshineCoast #thisisqueensland #maroochydore #sunrise #notcold #winter #iliveinparadise @sunsh…"
872227756985249792,2017-06-06 23:04:37,RT @eNCAWeather: #WinterStorm to bring heavy #snow to the SW Cape mountains &amp; around Sutherland in NC. #winter #Capestorm #eNCA https://t.c…
872227535450513408,2017-06-06 23:03:44,RT @EpicEtsy: #PomPom Hat #Pink and #Purple Beanie by AddSomeStitches https://t.co/N8vsN5DbD8 #EpicOnEtsy #Winter #Hat #Beanie https://t.co…
872227101130280960,2017-06-06 23:02:00,RT @ScottRosebrock: Sunrise from awhile ago 😊😊 #art #photography #landscape #winter #sunrise #Texas https://t.co/4ezhJW8SEd
872227081060577280,2017-06-06 23:01:55,RT @ScottRosebrock: Frosty Moon 🌙🌙 #photography #winter #morning #Texas https://t.co/ZN3xpnP6n9
872226817188528128,2017-06-06 23:00:53,"RT @readjam_english: #Shinshu in #Nagano is very beautiful in #winter. You can enjoy #kamakura ,a small house made with snow. #JapanTravel…"
872226802835406848,2017-06-06 23:00:49,"RT @mikasato_nyc: Macy's window displays 2016 “Communication Station"" # #holiday  #macys #nyc #winter #display #ニューヨーク https://t.co/mgwhqUs…"
872226718878007296,2017-06-06 23:00:29,"Loving the rainy cold weather in Sydney. 
Perfect sex/snuggle weather. 
Let me warm you up. 😏😍🌧️ 
#winter #sydneyescort #bbwescort #cuddly 🤗"
872226611365650432,2017-06-06 23:00:03,#Winter is over and #spring is here: +8.69 degrees #Celsius 2017-06-07 01:59:59
872226577957912576,2017-06-06 22:59:56,It can't be 14 days till #summer.  Shit it dont even feel like 14 day till #fall. It feel like 14 day of #Winter ☁️
872226504700297217,2017-06-06 22:59:38,#sunrise is the best thing I know in this whole wide world. #nature #goldcoast #winter… https://t.co/vFiu9stqI4
872225027781009408,2017-06-06 22:53:46,"Missing winter yet? ;) ""Friends"" canvas print 11x22"" $65 #art #Winnipeg #winter #snow #Assiniboinepark https://t.co/4rvsuLTOBm"
872224998349574144,2017-06-06 22:53:39,"RT @19Arne68: Summer or winter? Your decision !
#Summer #winter #dogsoftwitter #dogs #Decision #Swimwear #bobcap #survey #confused #vote #W…"
872224983115870208,2017-06-06 22:53:35,#winter #goodtimes #coffeetime #workfromhome #daalvadda #indiandonut… https://t.co/nOdKkIixu3
872224565560324096,2017-06-06 22:51:56,RT @MistralKDawn: #Paranormal #Romance Guild's 5* #Review of #Captivated By The #Winter #King! https://t.co/Z7DHu3ARFT https://t.co/ktYNAFg…
872224235699150849,2017-06-06 22:50:37,#Casual #winter 🍃☕ @ Plaza Norte https://t.co/evYrIe53v3
872224123228958721,2017-06-06 22:50:10,"Ask us about out #Winter #HEALTH catalogue...
#lugarno #pharmacistadvice https://t.co/862YvmGBtb"
872223931142373377,2017-06-06 22:49:24,#Winter the young lady who leaked information  about Russia efforts to hack voting soft wear is a hero !
872223356199866368,2017-06-06 22:47:07,RT @eNCAWeather: #WinterStorm to bring heavy #snow to the SW Cape mountains &amp; around Sutherland in NC. #winter #Capestorm #eNCA https://t.c…
872223146929254400,2017-06-06 22:46:18,"@Splittytravel Fantastic if you could #promote #winter #visits/#stays to #porthmadog, @visit_snowdonia &amp;… https://t.co/d4Vgzx7z5L"
872222623874203648,2017-06-06 22:44:13,Warm Up This #Winter Challenge: 13 Hot Chocolates in 13 Weeks! &gt;&gt; https://t.co/WwqKYA9P9S ☕️ // #bloggers… https://t.co/rwM5fecGIy
872222421872386048,2017-06-06 22:43:25,Yep that's not a lie #Hobart #Tasmania #winter https://t.co/rA7dndb7YG
872222396924567552,2017-06-06 22:43:19,Season's first wattle blooming to charm the exam-takers #winter @unimelb https://t.co/JdAzEZjbPv
872222293015093248,2017-06-06 22:42:54,"『雪 diary』
* Fine photo *

#pow #ski #skiing #winter #snow #outdoors #landscape… https://t.co/H7HbxbmnM3"
872222266112827392,2017-06-06 22:42:48,"Fountain on Martin Place for #vividsydney .
.
.
#sydney #australia #light #vividlive #cityofsydney #winter #flower… https://t.co/D3Rkd9qQBL"
872221704080072705,2017-06-06 22:40:34,RT @ColorBlind0: #Snowpocalypse #Winter #Photography #CB https://t.co/qoRcGLqH7m
872221618856185857,2017-06-06 22:40:13,Me resting windswept on the way back down from Mt Kosciuszko #snow #winter #nsw #nationalpark… https://t.co/qppYh0YGaN
872221616368832512,2017-06-06 22:40:13,RT @Sunrisesnaps: Frosty mornings and gorgeous colours r some of the things that make #winter in @tasmania so awesome #DiscoverTasmania NOW…
872221091636191232,2017-06-06 22:38:07,Aquele decote que você respeita! ❤️ #WeLove #CajoSecretGarden #Winter https://t.co/uPtJtlyQMb
872220985973514240,2017-06-06 22:37:42,# #Winter Wonderland - Finland | 4K Timelapse https://t.co/d8CCOvgCNG #video
872220954809819145,2017-06-06 22:37:35,10 tips on how to keep your #dog safe when the weather outside is frightful https://t.co/Tl4tnMUtg9 #winter #dogcare
872220853294907392,2017-06-06 22:37:11,The Sun Starts To Rise And Lights Up The Misty Fields Of The Northern Finland. https://t.co/svLJuQdWn1 #finland #winter #mist
872220832394825733,2017-06-06 22:37:06,A lesson beyond an angel on occasion drives winter. #anangel #proverbs #BlackOutDay #motivate #alesson #motivation… https://t.co/yd0vNv72Gn
872220642908622849,2017-06-06 22:36:21,RT @ColorBlind0: #Snowpocalypse #Winter #Photography #CB https://t.co/qoRcGLqH7m
872220572603760640,2017-06-06 22:36:04,RT @suewhitphotos: It may be Winter in Brisbane but it still shines.  @Queensland #winter @visitbrisbane #brisbaneanyday #thisisqueensland…
872220538483216384,2017-06-06 22:35:56,RT @eNCAWeather: #WinterStorm to bring heavy #snow to the SW Cape mountains &amp; around Sutherland in NC. #winter #Capestorm #eNCA https://t.c…
872220447961645057,2017-06-06 22:35:34,RT @HarbingerAFC: Overnight snowfall on the adjoining Hills of Gilgit #Gilgit #Home #Winter #Snow #GilgitDiaries https://t.co/KZGG5q3jpe
872220120214646785,2017-06-06 22:34:16,#Snowpocalypse #Winter #Photography #CB https://t.co/qoRcGLqH7m
872220075977199616,2017-06-06 22:34:05,When you can't feel your face in #Toowoomba #winter #loveit https://t.co/i14J5UYcmI
872219974873616384,2017-06-06 22:33:41,RT @steamingboots: Upper reaches of Rannoch Moor #winter https://t.co/JquY3xbAML
872219811216060416,2017-06-06 22:33:02,Dia dos Namorados e com #EstiloDropps #modamasculina #winter… https://t.co/UG5WZaIOKW
872219479731826689,2017-06-06 22:31:43,"RT @ancientorigins: #Beira, Queen of #Winter - https://t.co/Yl1mEklkHW
#mythology https://t.co/k0NQgAlSNl"
872218814351458305,2017-06-06 22:29:05,#Ski#Japan.com has just released its 2017/18 #Winter #Holiday Packages brochure and it has a new #Home https://t.co/AAkpHdwiZF
872218783578034176,2017-06-06 22:28:57,#PomPom Hat #Pink and #Purple Beanie by AddSomeStitches https://t.co/N8vsN5DbD8 #EpicOnEtsy #Winter #Hat #Beanie https://t.co/bKKAppuzix
872218224242212868,2017-06-06 22:26:44,"RT @ancientorigins: #Beira, Queen of #Winter - https://t.co/Yl1mEklkHW
#mythology https://t.co/k0NQgAlSNl"
872217681138786304,2017-06-06 22:24:34,This is why you should warm your #car in the #winter https://t.co/3SxiEaBbEx #follow #automotive
872217062034227200,2017-06-06 22:22:07,"Version up! Cute Snowboard Game App ChamaruBoarder 2- iPhone &amp; iPad: https://t.co/6vMMCLc3mb
#iPhone #iPad #Snowboard #winter #FreeApp"
872216547854626817,2017-06-06 22:20:04,Hand knitted beanie hat in multicolour yarn red https://t.co/r9NiPQO1Q0 #etsy #handmade #tweeturbiz #winter #etsyfinds #etsyclub
872215939563089920,2017-06-06 22:17:39,Snow #safetytips that could save your life https://t.co/W9XQmAEQRd #Winter #SnowFall https://t.co/WOBcRaYbNB
872215848210931712,2017-06-06 22:17:17,Hello VIBRANT WEDNESDAY! PURPLE inspires your artistic side. Include some in your attire today. Share your… https://t.co/d7mEg3eVZE
872215022042087424,2017-06-06 22:14:00,"Coffee for a chilly winter morning ☕️ ☕️ ☕️ 

#winter #winterchill #coffee #coffeelover #takeabreak https://t.co/xbmwtoWAD0"
