id,created_at,text
871491618322382848,2017-06-04 22:19:27,RT @KTHopkins: Let's not assess need. Let's just hand out taxpayers cash with blatant disregard to those working hard for it #bbcqt https:/…
871491605634613250,2017-06-04 22:19:24,RT @PeoplesMomentum: Question Time audience member isn't so keen on Theresa May's #bombfirsttalklater approach. #bbcqt #CorbynWins https://…
871491568552824832,2017-06-04 22:19:16,"@JamesRiley18 @Ahmet911 @Telegraph No, #armedpolice numbers were doubled in 2015, you'd know that if you had read t… https://t.co/6PjVHQ2TC9"
871491533962444802,2017-06-04 22:19:07,"RT @pplsummit: To our dear friends across the pond, please make @jeremycorbyn prime minister.🇬🇧 #bbcqt #FlashbackFriday https://t.co/drOHVm…"
871491485472092160,2017-06-04 22:18:56,WHY DO YOU WANT TO FUCKING KILL EVERYONE #bbcqt
871491449765941252,2017-06-04 22:18:47,Classic! 😂👏 #GE2017 #bbcqt https://t.co/Lo1PA31BSl
871491427196444673,2017-06-04 22:18:42,RT @PeoplesMomentum: Question Time audience member isn't so keen on Theresa May's #bombfirsttalklater approach. #bbcqt #CorbynWins https://…
871491396385087494,2017-06-04 22:18:35,"RT @the_awakend: Tories new attack line for Labour is ""Magic Money Tree"". Paul Mason destroyed it and Amber Rudd in 2 secs... #bbcqt https:…"
871491385219829760,2017-06-04 22:18:32,"RT @WillBlackWriter: I'm sure @CaptainSKA and @AshBeechey won't mind if you tweet and share this footage yourself during #bbcqt 
https://t.…"
871491382766182401,2017-06-04 22:18:31,RT @skwawkbox: May reported to police for Abbott comment electoral breach #GE17 #BBCQT https://t.co/QJjlYVCcxG https://t.co/5iyhtTRpst
871491334888206336,2017-06-04 22:18:20,RT @PeoplesMomentum: Question Time audience member isn't so keen on Theresa May's #bombfirsttalklater approach. #bbcqt #CorbynWins https://…
871491298376773633,2017-06-04 22:18:11,RT @TechnicallyRon: I'm not saying she is completely evil but her shadow isn't helping her image #bbcqt https://t.co/D9L6Ztm1z4
871491247596240898,2017-06-04 22:17:59,"RT @pplsummit: To our dear friends across the pond, please make @jeremycorbyn prime minister.🇬🇧 #bbcqt #FlashbackFriday https://t.co/drOHVm…"
871491162690867200,2017-06-04 22:17:39,May reported to police for Abbott comment electoral breach #GE17 #BBCQT https://t.co/d65LwoxLaT
871491152540827648,2017-06-04 22:17:36,RT @AaronBastani: May reported to police for Abbott comment electoral breach #GE17 #BBCQT https://t.co/bn9aXtygfu
871491145603444736,2017-06-04 22:17:35,RT @PeoplesMomentum: Question Time audience member isn't so keen on Theresa May's #bombfirsttalklater approach. #bbcqt #CorbynWins https://…
871491094630080512,2017-06-04 22:17:23,RT @TechnicallyRon: I'm not saying she is completely evil but her shadow isn't helping her image #bbcqt https://t.co/D9L6Ztm1z4
871491069673865218,2017-06-04 22:17:17,"RT @THemingford: Can you afford £140,000 for an op? No? Then, with respect, wake up and do not vote Conservative #bbcqt"
871490993463246849,2017-06-04 22:16:59,"RT @pplsummit: To our dear friends across the pond, please make @jeremycorbyn prime minister.🇬🇧 #bbcqt #FlashbackFriday https://t.co/drOHVm…"
871490930540519425,2017-06-04 22:16:44,"RT @THemingford: Can you afford £140,000 for an op? No? Then, with respect, wake up and do not vote Conservative #bbcqt"
871490892502372352,2017-06-04 22:16:34,RT @PeoplesMomentum: Question Time audience member isn't so keen on Theresa May's #bombfirsttalklater approach. #bbcqt #CorbynWins https://…
871490823350824960,2017-06-04 22:16:18,RT @RichardJMurphy: Every time there is a proposal to increase the minimum wage it's said jobs will be lost and it never happens #bbcqt
871490795039334400,2017-06-04 22:16:11,RT @theresa_may: Thank you to everyone who put their questions to me tonight on #bbcqt. Good debate on important topics like who can get th…
871490742572666880,2017-06-04 22:15:59,https://t.co/6kyRPpSc7T Naruto Shippuden 470 Sasuke One Piece #bbcqt #pantura Boruto #GGMU
871490704794501120,2017-06-04 22:15:50,"RT @tedtully: Labour's money tree? Here it is. 

Still haven't seen any Tory manifesto costings!

#bbcqt #bbctw #GE2017 https://t.co/J05EsF…"
871490679398170624,2017-06-04 22:15:44,"RT @tedtully: Labour's money tree? Here it is. 

Still haven't seen any Tory manifesto costings!

#bbcqt #bbctw #GE2017 https://t.co/J05EsF…"
871490672100069378,2017-06-04 22:15:42,#Manchester #endterrorism  #GE2017 #bbcqt #leadership #WeakandWobbly #Jezwecan #JEZZA #londonterrorattack… https://t.co/mE5Z1H5JJn
871490665628278784,2017-06-04 22:15:40,RT @bbcquestiontime: New slot for #bbcqt Leaders Special with @NicolaSturgeon + @timfarron 9pm Monday @BBCOne. @bbcnickrobinson standing in…
871490664109928459,2017-06-04 22:15:40,RT @BENEFITS_NEWS: May reported to police for Abbott comment electoral breach #GE17 #BBCQT https://t.co/yvJgvhEJLE via @skwawkbox
871490648595079168,2017-06-04 22:15:36,https://t.co/DrZgPqiwC4 #pantura #bbcqt #GOPdEbate #GOPmovies j #catfish
871490637232734208,2017-06-04 22:15:34,RT @Conservatives: Jeremy Corbyn wants Diane Abbott to be the Home Secretary. #bbcqt https://t.co/CqNE2CV2e5
871490559935905793,2017-06-04 22:15:15,RT @jeremycorbyn: Labour is asking corporations to pay a bit more to build a better society which delivers #ForTheMany. #BBCQT #GE2017 http…
871490557658492928,2017-06-04 22:15:15,"May says there's ""far too much tolerance of extremism"" &amp; vows action. Not at all credible - she's had 7 years (6 as Home Sec) to act! #bbcqt"
871490552407113729,2017-06-04 22:15:13,https://t.co/HXp8eWOrTd #halamadrid #GGMU #YNWA #coys #bbcqt l #MorningZone
871490517665796098,2017-06-04 22:15:05,RT @BENEFITS_NEWS: May reported to police for Abbott comment electoral breach #GE17 #BBCQT https://t.co/yvJgvhEJLE via @skwawkbox
871490517057495041,2017-06-04 22:15:05,https://t.co/Uws09IpPMr #GGMU #jumatberkah #bbcqt #PokemonGo #pokemon #Go #halamadrid #fcbarcelona #coys #bbcqt
871490476997844992,2017-06-04 22:14:55,RT @AaronBastani: May reported to police for Abbott comment electoral breach #GE17 #BBCQT https://t.co/bn9aXtygfu
871490466457538561,2017-06-04 22:14:53,"RT @mrjamesob: #BBCQT audience oddly obsessed with nuclear Armageddon and, unless I dreamt it, Corbyn took flak for being unenthusiastic ab…"
871490428356501504,2017-06-04 22:14:44,May reported to police for Abbott comment electoral breach #GE17 #BBCQT https://t.co/1ihQYTSBf7 via @skwawkbox
871490392784609280,2017-06-04 22:14:35,"Did May's ""Enough is Enough"" sound familiar? Phrase was used by Police Federation in 2015 to warn over cuts! #bbcqt
https://t.co/UNZsSVjoVq"
871490361029402624,2017-06-04 22:14:28,farmhouse lembang https://t.co/kF9JDa7Upt #YNWA #GGMU #COYS #bbcqt #fcbarcelona #bbcqt #YNWA #forzajuve #hal #GOPDebate
871490315009609728,2017-06-04 22:14:17,"RT @tedtully: Labour's money tree? Here it is. 

Still haven't seen any Tory manifesto costings!

#bbcqt #bbctw #GE2017 https://t.co/J05EsF…"
871490300199542784,2017-06-04 22:14:13,RT @Greekboy8: RT OH LOOK evidence editor of last nights #Bbcqt tells guests not to go hard on Tories #Skypapers #Bbcpapers #Marr  https://…
871490173212733440,2017-06-04 22:13:43,"RT @THemingford: Can you afford £140,000 for an op? No? Then, with respect, wake up and do not vote Conservative #bbcqt"
871490161682591749,2017-06-04 22:13:40,RT @kernow4corbyn: #bbcqt https://t.co/A9OJcqRgmZ
871490140149100544,2017-06-04 22:13:35,"RT @THemingford: Can you afford £140,000 for an op? No? Then, with respect, wake up and do not vote Conservative #bbcqt"
871490133417091072,2017-06-04 22:13:33,"RT @pplsummit: To our dear friends across the pond, please make @jeremycorbyn prime minister.🇬🇧 #bbcqt #FlashbackFriday https://t.co/drOHVm…"
871490063183609859,2017-06-04 22:13:17,RT @neil1pat: @jeremycorbyn attacked on #bbcqt for avoiding #Amageddon yet #TheresaMay selling arms to Saudis who funds ISIS terrorists con…
871490034612015104,2017-06-04 22:13:10,"RT @pplsummit: To our dear friends across the pond, please make @jeremycorbyn prime minister.🇬🇧 #bbcqt #FlashbackFriday https://t.co/drOHVm…"
871490030497386496,2017-06-04 22:13:09,"RT @THemingford: Can you afford £140,000 for an op? No? Then, with respect, wake up and do not vote Conservative #bbcqt"
871489910292787200,2017-06-04 22:12:40,RT @andrealeadsom: Unbelievable. The appalling murders committed by IRA....and JC still won't condemn them #bbcqt #VoteConservative https:/…
871489872460230657,2017-06-04 22:12:31,"RT @ToryFibs: 7 weeks ago, Jeremy Corbyn told Theresa May he was worried about the 20,000 cut in the number of police. #BBCqt https://t.co/…"
871489839098626048,2017-06-04 22:12:23,Really ministerial @BorisJohnson @Conservatives on @BBC during discussion with  @IanLaveryMP #BBCQT Strong &amp; Stable… https://t.co/5MMFKCp4FT
871489806886252544,2017-06-04 22:12:16,RT @KTHopkins: Let's not assess need. Let's just hand out taxpayers cash with blatant disregard to those working hard for it #bbcqt https:/…
871489650568957952,2017-06-04 22:11:38,#bbcqt completely discredited now. 2 plants in as many weeks. Why would anyone bother to watch it? https://t.co/9nBRcTpPTu
871489627554803712,2017-06-04 22:11:33,RT @Yesfreedom45: I can buy a tuxedo with my #Zerohourcontract #GE2017 #bbcqt #ScotRef #Indyref #Indyref2 https://t.co/HvCZO5MT05
871489607917031429,2017-06-04 22:11:28,RT @UKLabour: Like what @jeremycorbyn said tonight? Here are ten reasons to vote Labour on Thursday 8 June. Share now ↓ #bbcqt #VoteLabour…
871489578141720580,2017-06-04 22:11:21,RT @Conservatives: Jeremy Corbyn wants Diane Abbott to be the Home Secretary. #bbcqt https://t.co/CqNE2CV2e5
871489476656345089,2017-06-04 22:10:57,RT @aintcricket: May reported to police for Abbott comment electoral breach #GE17 #BBCQT https://t.co/e05W3Y08oA via @skwawkbox
