id,created_at,text
870428620237492224,2017-06-01 23:55:29,"@realDonaldTrump They're not laughing at US, they're laughing at YOU! #HaHa"
870428439760707584,2017-06-01 23:54:46,"Banyak baca lupa, tidak membaca tidak ada yang dilupa #Haha^_^"
870428148625702914,2017-06-01 23:53:37,#awww so #sweet 😍😍😍 #cats #catsofinstagram #catmeme #memegato #meme #funny #lol #jaja #haha… https://t.co/UexxxJx64q
870427885219192832,2017-06-01 23:52:34,Birthday Month??!!! #haha #thisguy #june https://t.co/EiMPMFnjeX
870427791145095168,2017-06-01 23:52:11,@realDonaldTrump The mayor of Pittsburgh @billpeduto said that he and the city will honor the Paris agreement. And #HRC WON PITTSBURG! #Haha
870427677588684800,2017-06-01 23:51:44,yo aún tengo que hacer la maleta #haha #funny
870426422174666752,2017-06-01 23:46:45,"Jangan lupa tonton mini drama jimin ""열일곱""
#haha
#BTSFESTA2017 
#BTSforVMA https://t.co/5BtibGYT2U"
870423399667040257,2017-06-01 23:34:44,RT @neonwaltz: More monthly listeners than @liamgallagher #haha #untiltomorrow #yaaaaas #upyeerkid https://t.co/ku1GqY2mSI
870423240166060032,2017-06-01 23:34:06,More monthly listeners than @liamgallagher #haha #untiltomorrow #yaaaaas #upyeerkid https://t.co/ku1GqY2mSI
870422580179718144,2017-06-01 23:31:29,We are Sikh and tired. via /r/funny https://t.co/GTBXzvhCwR #funny #lol #haha #humor #lmao #lmfao #hilarious #laugh… https://t.co/iyVii1wOiQ
870421064945328128,2017-06-01 23:25:28,#funny #humor #hilarious #memes #lol #haha #rofl #lmfao #lmao #wtf https://t.co/gYjDmNVgcs
870420869188694017,2017-06-01 23:24:41,Lebih baik ga punya pacar tapi jodohnya cakep daripada gonta ganti pacar tapi ga jodoh mulu #Haha^_^
870420466426494977,2017-06-01 23:23:05,#funny #humor #hilarious #memes #lol #haha #rofl #lmfao #lmao #wtf https://t.co/KBPEvu4XPS
870418864143839237,2017-06-01 23:16:43,#snap #boredom #ergens #alljahnalweer #insta #sc #snapo #su #manen #haha #lfmao #ongebaad #ig… https://t.co/XfpQX1lfzj
870415694151548928,2017-06-01 23:04:07,RT @ashley7218: since i graduated hs i'm starting to realize who my TRUE friends are #haha
870415337744986112,2017-06-01 23:02:42,Jacques and Danny. They are looking distinctly shifty #naughtydogs #shifty #haha… https://t.co/91vCVG4UGc
870414778057072646,2017-06-01 23:00:29,Yup! #haha #smile #lol #funny #Humor #work #workday #relax #yogadowndabayou #chauvin https://t.co/qnZgaSXOoB https://t.co/xPEzJ1E42h
870414473374203906,2017-06-01 22:59:16,"#obama #trump #haha #maga 
Suck it up. You'll be OK. Kenya still loves you lol https://t.co/N3gVl6nkwY"
870414329241362432,2017-06-01 22:58:42,Hello 2 @iainlee #haha
870414085749448704,2017-06-01 22:57:44,#FamilyPortrait of the #Solo #skywalkerfamily why did our son become so #emo #haha love this by… https://t.co/qzfU3ilUea
870413956963106816,2017-06-01 22:57:13,This isnt the first time Trump has pulled out fast. #haha #msnbc #situationroom #cnn
870413609708404736,2017-06-01 22:55:50,'mi'+'iç'+'hi'+'ga'+'an'#Michigan ..#bridgecove #whitewater (cove swamp) #windcove #coastdive #whitewater (key delta) 😉#haha
870413327926673408,2017-06-01 22:54:43,Carilah pacar yang lebih ganteng atau cantik daripada mantan biar ada kemajuan #Haha^_^
870413044643442693,2017-06-01 22:53:35,@DRUDGE_REPORT @Variety #haha
870412645559447552,2017-06-01 22:52:00,RT @ashley7218: since i graduated hs i'm starting to realize who my TRUE friends are #haha
870411240430071809,2017-06-01 22:46:25,RT @coleoisherio: #Covfefe #memes #funny #haha https://t.co/5324FICRNc
870411100562612224,2017-06-01 22:45:52,@RealArmandoHaHa @PCW_UK @cubanheatMANG @PhilipMichael98 #HaHa
870411035467010049,2017-06-01 22:45:36,RT @coleoisherio: #Covfefe #memes #funny #haha https://t.co/5324FICRNc
870410992588644352,2017-06-01 22:45:26,RT @coleoisherio: #Covfefe #memes #funny #haha https://t.co/5324FICRNc
870410623594635264,2017-06-01 22:43:58,When I think about how I was suppose to get married in less than two weeks 😂😂😂😂😂😂😂😂 #haha #nothappening
870410259906670594,2017-06-01 22:42:32,RT @coleoisherio: #Covfefe #memes #funny #haha https://t.co/5324FICRNc
870409949607809024,2017-06-01 22:41:18,"Part 2 - Ketika yg lain sudah sadar ad yg jepret, saya msh sibuk mncari arah kamera..#haha 😂… https://t.co/feGnzVeVA0"
870409126907695104,2017-06-01 22:38:01,"Do we even need to care about climate change...it's bunch of #Covfefe anyway 😐
#justsaying #haha"
870408951526965248,2017-06-01 22:37:20,"RT @Max0s0: 媚びて生きる必要なんてないよ
生きるも死ぬも自分次第やから
どーせやったら派手に好きな事
ブチかまして行こーーぜ🗣!!!!w
 
#UNCOOL #カッコ悪い 
#You #奴隷？ #Haha💋 https://t.co/RbOH2ZjkwB"
870408520985747456,2017-06-01 22:35:37,@jaromjordan @BYUSportsNation @jsnshep @BrianLogan7 @kylechilton @MichaelAlisa42 @k8ertotz Honored to have my name… https://t.co/xAZHLqazvd
870407975768178688,2017-06-01 22:33:27,@KING5Seattle what a total joke. Joke is on the taxpayers. #Haha
870407936090275840,2017-06-01 22:33:18,Made you look! Double take #Funny #haha #laughable #amusing https://t.co/ZzNNrpXP7Z
870407916020486149,2017-06-01 22:33:13,"RT @Max0s0: 媚びて生きる必要なんてないよ
生きるも死ぬも自分次第やから
どーせやったら派手に好きな事
ブチかまして行こーーぜ🗣!!!!w
 
#UNCOOL #カッコ悪い 
#You #奴隷？ #Haha💋 https://t.co/RbOH2ZjkwB"
870407681801994240,2017-06-01 22:32:17,"RT @Max0s0: 媚びて生きる必要なんてないよ
生きるも死ぬも自分次第やから
どーせやったら派手に好きな事
ブチかまして行こーーぜ🗣!!!!w
 
#UNCOOL #カッコ悪い 
#You #奴隷？ #Haha💋 https://t.co/RbOH2ZjkwB"
870407540743454721,2017-06-01 22:31:43,"RT @Max0s0: 媚びて生きる必要なんてないよ
生きるも死ぬも自分次第やから
どーせやったら派手に好きな事
ブチかまして行こーーぜ🗣!!!!w
 
#UNCOOL #カッコ悪い 
#You #奴隷？ #Haha💋 https://t.co/RbOH2ZjkwB"
870407523110727681,2017-06-01 22:31:39,Was reading a medical book when suddenly... via /r/funny https://t.co/PfLm4rG4jU #funny #lol #haha #humor #lmao… https://t.co/GJIhBK7o0t
870407506274734085,2017-06-01 22:31:35,This was at my college library entrance. via /r/funny https://t.co/1PvFSODjpG #funny #lol #haha #humor #lmao #lmfao… https://t.co/16QsQZ7TDP
870407454953263105,2017-06-01 22:31:23,Wannabe Rapper Passes Out After Takin A Hit ↺RT❤️️ https://t.co/Y17n36V40S #fall #wtf #lol #stupid #funny #haha #fartkno
870407206759313411,2017-06-01 22:30:24,"媚びて生きる必要なんてないよ
生きるも死ぬも自分次第やから
どーせやったら派手に好きな事
ブチかまして行こーーぜ🗣!!!!w
 
#UNCOOL #カッコ悪い 
#You #奴隷？ #Haha💋 https://t.co/RbOH2ZjkwB"
870407094767321089,2017-06-01 22:29:57,"Yes, chin pubs...💁‍♂️ #tbt 2007ish #scruff #shamelessselefie #haha #youth #ihategettingold #omg https://t.co/jZOhPav3P1"
870406803519090690,2017-06-01 22:28:47,RT @coleoisherio: #Covfefe #memes #funny #haha https://t.co/5324FICRNc
870406769641705473,2017-06-01 22:28:39,@KathyGriffin Looks like #JohnnyDepp As #WillyWonka !! #BelieveThat #MAGA #Trump #KathyGriffin #LockHerUp #Haha https://t.co/fUkIfNkWKM
870405854746607617,2017-06-01 22:25:01,RT @coleoisherio: #Covfefe #memes #funny #haha https://t.co/5324FICRNc
870405759338663936,2017-06-01 22:24:39,"Kalo tersenyum tidak bisa membuatmu bahagia, mungkin kamu harus tertawa terbahak-bahak #Haha^_^"
870405663872217088,2017-06-01 22:24:16,RT @coleoisherio: #Covfefe #memes #funny #haha https://t.co/5324FICRNc
870404136478531584,2017-06-01 22:18:12,since i graduated hs i'm starting to realize who my TRUE friends are #haha
870403763542122496,2017-06-01 22:16:43,#mine #haha https://t.co/6EDu2BaCHw
870401400181735424,2017-06-01 22:07:19,Debuting at all baby showers this summer. #dosequis #haha @… https://t.co/TqBGAWyMB9
870401324231163909,2017-06-01 22:07:01,RT @AoRiiSS: #HaHa #赤西仁  😆😆😆😆😆 https://t.co/EU6iQoBWEj
870400945665957888,2017-06-01 22:05:31,"@BrunoMars B- quit playing, answer the serious questions.... what's your favorite Starburst flavor?? #teampink… https://t.co/lPPJSxMaA4"
870400507671531520,2017-06-01 22:03:46,"RT @BateWorld: @JocksJunkie #junesturbation, #julysturbation, #auguststurbation, #etc #haha"
870400028233224192,2017-06-01 22:01:52,"@JocksJunkie #junesturbation, #julysturbation, #auguststurbation, #etc #haha"
870398248103444480,2017-06-01 21:54:48,"Diam itu emas, maka perbanyaklah diam biar bisa buka toko emas #Haha^_^"
870395899964526592,2017-06-01 21:45:28,DAMN! de nieuwe Foo Fighters really kicksass! love it ! https://t.co/K9Yp6p1R5P #Foofighers Veel plezier met Justin Bieber op #pinkpop #haha
870395411269378048,2017-06-01 21:43:31,@DaBlackPope @PCW_UK @cubanheatMANG @PhilipMichael98 #NoMeGusta #HatFlysOff #ahaaaaaaaa #haha
870394803506339840,2017-06-01 21:41:06,RT @dmvsno1slim: #SoCal #LA #Standup #Comedy next Thursday up at #HaHa in #NoHo this will be 'videotaped' soooo… https://t.co/HwhINXj9ro
870394298889646080,2017-06-01 21:39:06,#paris #parrisaccords #idiot #trump #makingamericachokeagain #ha #haha #cleanair #cleanwater #pullout #seriously… https://t.co/rUIpDEeeTl
870393141748264961,2017-06-01 21:34:30,RT @coleoisherio: #Covfefe #memes #funny #haha https://t.co/5324FICRNc
870392437923078144,2017-06-01 21:31:42,Katt Williams - It's Pimpin Pimpin ↺RT❤️️ https://t.co/TcMScTeTkr #standup #hilarious #lol #funny #haha #williams
870392335087128577,2017-06-01 21:31:18,Fruit Booter Bail And Fail ↺RT❤️️ https://t.co/iWru4hipsn #lulz #skate #blooper #lol #plant #haha #bail #fall #fruit #bl
870391529692692480,2017-06-01 21:28:06,RT @coleoisherio: #Covfefe #memes #funny #haha https://t.co/5324FICRNc
870391515197067264,2017-06-01 21:28:02,@Deeevine_ BITCH ABORTIONS AINT FREE WITH ALL THESE BROKE BITCHES HAVIN FREE BABIES #HAHA #ISSA$400PAYMENT 😂
870390967509143552,2017-06-01 21:25:52,#haha #partyfirst #racists https://t.co/UMESPzsVM3
870390667033182208,2017-06-01 21:24:40,"Belajar menunggu diterima gebetan bisa dimulai dari belajar antri di bank, harus sabar bro! #Haha^_^"
870390383674568705,2017-06-01 21:23:33,RT @PaulCulshaw1983: #haha #TheresaMay #politics #BBCDebate https://t.co/o2UvIW4r0D
870389867171028992,2017-06-01 21:21:30,"This Threats Pimp!!!!
#funnyshit #4fingasup #FAMOB #skit #jokes #haha https://t.co/Q0FqKloMfA"
870389552376107010,2017-06-01 21:20:14,#funny  #joke  #epic #lol #crazy #fun  #jokes #wacky #hilarious  #laughing #joking  #laugh #haha #lmao #lmfao… https://t.co/KwvkY2lvOr
870389259898724353,2017-06-01 21:19:05,RT @coleoisherio: #Covfefe #memes #funny #haha https://t.co/5324FICRNc
870389036623515649,2017-06-01 21:18:12,RT @Libertyexplores: Tweet Tweet. #Love #Joke #KidJokes #JokeThursday #Funny #HaHa https://t.co/WmgHgiJjo8 https://t.co/8bF5zlJp6U
870388315651883012,2017-06-01 21:15:20,#Covfefe #memes #funny #haha https://t.co/5324FICRNc
870386645417299970,2017-06-01 21:08:41,#haha #TheresaMay #politics #BBCDebate https://t.co/o2UvIW4r0D
870386455771840512,2017-06-01 21:07:56,Tweet Tweet. #Love #Joke #KidJokes #JokeThursday #Funny #HaHa https://t.co/WmgHgiJjo8 https://t.co/8bF5zlJp6U
870385873400897537,2017-06-01 21:05:37,#funny #humor #hilarious #memes #lol #haha #rofl #lmfao #lmao #wtf https://t.co/tGapXRp6kl
870385683126521858,2017-06-01 21:04:52,RT @vanillaice: #goninjagoninjago #haha https://t.co/BmSHRLPqzs
870385459981033472,2017-06-01 21:03:59,@maggieNYT #HaHa https://t.co/pULd1aOxwj
870385220465209344,2017-06-01 21:03:02,#funny #humor #hilarious #memes #lol #haha #rofl #lmfao #lmao #wtf https://t.co/3eTMpZuVap
870384765068648448,2017-06-01 21:01:13,Searching for a boy in highschool is as useless as searching for meaning in a Pauly Shore movie. #haha
870384641215045632,2017-06-01 21:00:44,Cari apa aja yang ga ada #haha
870384464156778497,2017-06-01 21:00:01,"A farmer's 3 daughters are going on a date

https://t.co/OJBP0qrUjn

#Joke #Haha #Funny #HahaCafe"
870384388206415872,2017-06-01 20:59:43,@ajrabaioli I curse you with unpretty selfies of peeps who love you #haha #evillaughter https://t.co/TKHED7jLrI
870384139656085504,2017-06-01 20:58:44,It's sad you have to make a new fb account just to stalk. #fml #haha
870383133815787520,2017-06-01 20:54:44,Jangan menilai buku dari sampulnya tapi lihat dulu harganya #Haha^_^
