id,created_at,text
870792124240887808,2017-06-02 23:59:55,RT @Arararagoneses: #me https://t.co/ywe0WDQiri
870792115269324800,2017-06-02 23:59:53,Falta do que fazer da nisso ! #Me #Myself #blackandwhite #badquality https://t.co/qyQ64ZM44t
870791773244846080,2017-06-02 23:58:31,"RT @etthepornhunter: ❤️💛💚💙💜🖤#Follow❤️💛💚💙💜🖤

❤️💛💚💙💜🖤#Me❤️💛💚💙💜🖤

❤️💛💚💙@etthepornhunter💜🖤 
https://t.co/uxNvZV04Ri"
870791734803841024,2017-06-02 23:58:22,意識とは何か理解できた - 本文「脳細胞」を検索 - はてなブックマーク (5 users) https://t.co/3h5kUXcYXT ##ME #健康
870791532386820097,2017-06-02 23:57:34,Im #blue babudebabudi #indigo #metaphysical #starseed #lightworker #angel #pasadenagirl #pink #love #me https://t.co/tcRXb1VnSx
870791482709491712,2017-06-02 23:57:22,Vamos arreglarnos para el concierto ⭐️🙅🏻‍♂️⭐️ #90sPopTour #mexico #CDMX  #bailar #musica #love #arenamexico #me… https://t.co/VkbFRzMs0h
870791293680713728,2017-06-02 23:56:37,Me 😝💕 #playa #weekend #me  #sol #acapulco https://t.co/7MBJ2Wcj38
870791286185381889,2017-06-02 23:56:35,"RT @nacky_k829: 誰の元へお嫁に行くのだろう💍
#東海walker #アルイテラブル2 #チェキ #present 
#instamemories #me #good #dinosaur #cheki #sign #gn #tagsforlikes https:/…"
870791097798328321,2017-06-02 23:55:50,#me https://t.co/ywe0WDQiri
870791049983250432,2017-06-02 23:55:39,Una faccia della medaglia 😁 #ibiza #me #mytime #calacomte #vcomevittoria @ Cala Comte https://t.co/QRdfR3rhs1
870790870328426496,2017-06-02 23:54:56,"RT @fujitanana_1228: ＊
かわいい衣装を着れる幸せ😌
AKBの衣装ほんとに好き〜💗
・
#shooting #shoot #today #me #akb衣装 #📸 #❤️ https://t.co/wcGbK3FbfA"
870790827097849856,2017-06-02 23:54:46,"Building up a sentimental attachment to things; sometimes I feel not to mind it, positively it can help me be #Me"
870790791056248836,2017-06-02 23:54:37,#me https://t.co/b28hYfTUSL
870790780985552896,2017-06-02 23:54:35,See a virtual tour of one of our newest #listings 80 Griffin AVE #Hampden #ME  https://t.co/zpwWTAbTxt https://t.co/FOQ0jCMFGP
870790624450142208,2017-06-02 23:53:58,#ME #CFS Activating the fight or flight can slow down recovery.Could this be affecting you? Free Report https://t.co/4UjwkFntrn
870790472335331328,2017-06-02 23:53:21,#me #swag #being #crazy #june #l4l #l4f #f4l #f4f #like #follow #likeme #followme #picoftheday #igers #instagood… https://t.co/6GPw9hmxYg
870790346883465216,2017-06-02 23:52:51,"RT @nacky_k829: 誰の元へお嫁に行くのだろう💍
#東海walker #アルイテラブル2 #チェキ #present 
#instamemories #me #good #dinosaur #cheki #sign #gn #tagsforlikes https:/…"
870790339711422464,2017-06-02 23:52:50,"Frô 🌸
#me #flower #happy #nightout #instagirl #smile #likeforlike #likesforlikes #like4like @… https://t.co/0aFPk7bUpF"
870790104067051520,2017-06-02 23:51:53,"#me when I order pizza, and its almost being delivered!! https://t.co/UbtKBdyjE1"
870790085167300609,2017-06-02 23:51:49,☺️☺️☺️☺️☺️ #me #rn
870790065353523200,2017-06-02 23:51:44,"casa de mi amante,!metemela, no me la saques! #la #me #de #no #mi #en #casa #amante #metemela #saques #apornbiz https://t.co/AlriYKMx8C"
870790025016987648,2017-06-02 23:51:35,"@Wine_Honey1 @hergoodness Listen sugar tits*
#not #pig #joke #dont #hit #me"
870790013453127680,2017-06-02 23:51:32,"❣️

#me #makeup #eyeshadow #wingedliner #highlighter #mascara #insta #instagram #redhair… https://t.co/yuIxFX92M4"
870789650897448964,2017-06-02 23:50:05,"RT @lol_hibiki_: never again...🌹🌹🌹

#hibiki 
#me
#shooting 
#chocolate 
#seeya 

https://t.co/S1mf34j7kn https://t.co/XnpprMIBLj"
870789488959672320,2017-06-02 23:49:27,Just Listed in #Sidney #ME. 11 Meadow DR! Please retweet!  https://t.co/Lkio5BoF6S https://t.co/WEte3I7aDZ
870789371527479296,2017-06-02 23:48:59,"once upon a dream
#jimin &amp; #you by #me @forneverafter07"
870789284919488512,2017-06-02 23:48:38,Trying to let y'all in on as much of #ME as possible! We will start posting videos starting with… https://t.co/I2x5XCgz22
870789234063540224,2017-06-02 23:48:26,RT @Hamsmuhamedd: Maldives #me #memoriesforlife https://t.co/WcUzHyhYIV
870789198327947264,2017-06-02 23:48:18,"RT @hikarun61: ＼誕生日ディズニー／
#me #i #tokyo #tokyodisneysea #disney #sea #easter #findingnemo #cap #birthday… https://t.co/mte0nx9zZc"
870789146620477440,2017-06-02 23:48:05,"Get Inspired ✅ 
-
-
 #fashion #style #stylish #love #socialenvy #PleaseForgiveMe #me #cute… https://t.co/CR89AizSdK"
