id,created_at,text
870778435081314304,2017-06-02 23:05:31,"Bale is world class but why does no one ever mention his injury record?!?! 

Big issue for the money you need to buy him. #MUFC"
870778432065597440,2017-06-02 23:05:31,RT @krissmoha: Anderson-son-son ❤️ #mufc https://t.co/cO4iL2gpSN
870778404450258944,2017-06-02 23:05:24,"RT @transfernews511: If Griezmann does not sign for #MUFC this summer, we will give everyone who retweets this 20 euro. That's how confiden…"
870778402923573248,2017-06-02 23:05:24,"RT @transfernews511: If Griezmann does not sign for #MUFC this summer, we will give everyone who retweets this 20 euro. That's how confiden…"
870778385856843776,2017-06-02 23:05:20,"RT @kyleshell1408: 3 points are vital, this is a very big away game! COME ON YOU REDS! #MUFC #mufclive"
870778371990540288,2017-06-02 23:05:16,"RT @s_wattimena: #MUFC Season:

Community Shield: 🏆
League Cup: 🏆
Premier League: 6⃣
Europa League: 🏆
Injuries:… https://t.co/h3mgWteQbV"
870778368265990144,2017-06-02 23:05:15,"RT @transfernews511: If Griezmann does not sign for #MUFC this summer, we will give everyone who retweets this 20 euro. That's how confiden…"
870778365820534786,2017-06-02 23:05:15,RT @PayetForward: Rumour mill // Real Madrid are open to negotiating with Manchester United for Gareth Bale this summer #mufc https://t.co/…
870778363102851072,2017-06-02 23:05:14,"RT @ManUtdGoaIs: #MUFC target, Victor Lindelof.

Could he be the man to partner Eric Bailly, at just 22 years old?

[IbrAlliance] https://t…"
870778348900888576,2017-06-02 23:05:11,RT @FULLTIMEREDS: Anderson will attend Michael Carrick's testimonial but can't play due to injury. [M.E.N] #MUFC
870778324259414017,2017-06-02 23:05:05,RT @FULLTIMEREDS: #MUFC are confident David De Gea is staying. He's happy at the club &amp; is looking forward to Champions League football. [S…
870778299382984704,2017-06-02 23:04:59,RT @krissmoha: Anderson-son-son ❤️ #mufc https://t.co/cO4iL2gpSN
870778285415948289,2017-06-02 23:04:56,"RT @transfernews511: If Griezmann does not sign for #MUFC this summer, we will give everyone who retweets this 20 euro. That's how confiden…"
870778284396642304,2017-06-02 23:04:55,RT @krissmoha: Anderson-son-son ❤️ #mufc https://t.co/cO4iL2gpSN
870778271792844800,2017-06-02 23:04:52,"RT @transfernews511: If Griezmann does not sign for #MUFC this summer, we will give everyone who retweets this 20 euro. That's how confiden…"
870778260405268480,2017-06-02 23:04:50,"RT @MahmoudBah12: Bailly O Monstro à lui seul il vaut le double de la paire Jones-Smalling
Il bouffe Varane aussi au passage #MUFC https://…"
870778249609195520,2017-06-02 23:04:47,"RT @ManUtd_HQ: Analysis on Ander Herrera &amp; Antonio Valencia's performances this season by Ryan Giggs and Phil Neville. #mufc

https://t.co/…"
870778242654814208,2017-06-02 23:04:45,RT @TheCRonaldoFan: Cristiano Ronaldo has a routine in Finals when he scores - taking his shirt off. #HalaMadrid #MUFC https://t.co/ux7jLN3…
870778197650153474,2017-06-02 23:04:35,"RT @Bassa_UTD: Real Madrid will not allow Raphael Varane to join #mufc because United will not sell David De Gea to them. [Star]

Hahaha Fu…"
870778193531330560,2017-06-02 23:04:34,"RT @Ahsi_7: Ian Wright on Bailly: ""You can see him being at Utd for the rest of his career. My god, what a find. I'm jealous."" #MUFC https:…"
870778174245875712,2017-06-02 23:04:29,"RT @ClassicCantona: When Manchester City sign Mendy, Fabinho &amp; Silva for £110m &amp; we sign Keane, Dier &amp; Perisic for £120m. #MUFC https://t.c…"
870778172819820545,2017-06-02 23:04:29,"RT @Spurs_US: ""The Tottenham Hotspurs and Manchester Uniteds continue their feud.""
Yankee Stadium, NY, 15 June 1956
#COYS 7 - 1 #MUFC
#FBF…"
870778149470121985,2017-06-02 23:04:23,RT @FULLTIMEREDS: The media hate Manchester United Fact! We will definitely see Zlatan playing for us again. #mufc https://t.co/AXZjh7SuCz
870778100426166272,2017-06-02 23:04:12,RT @BSchweinsteiger: Europa League winners! Congrats to @ManUtd and my former mates 👍🏼 #mufc
870778095862779907,2017-06-02 23:04:10,RT @krissmoha: Anderson-son-son ❤️ #mufc https://t.co/cO4iL2gpSN
870778079190413313,2017-06-02 23:04:07,"RT @transfernews511: If Griezmann does not sign for #MUFC this summer, we will give everyone who retweets this 20 euro. That's how confiden…"
870778072634667008,2017-06-02 23:04:05,"RT @ManUtd_HQ: Analysis on Ander Herrera &amp; Antonio Valencia's performances this season by Ryan Giggs and Phil Neville. #mufc

https://t.co/…"
870778039927537665,2017-06-02 23:03:57,RT @TheCornishRed: Jordan Henderson&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;Paul Pogba #LFC #MUFC
870778033350877189,2017-06-02 23:03:56,"RT @ManUtdMEN: Only Cristiano Ronaldo has scored more goals than Alvaro Morata this season - he's the real deal #mufc
https://t.co/TgY3NStN…"
870778016774971393,2017-06-02 23:03:52,RT @TheUtdEra: #mufc will make an imminent £76M bid for Alexis Sanchez after Griezmann has decided to stay at Atletico Madrid (Di Marzio).
870778002849902593,2017-06-02 23:03:48,"RT @transfernews511: If Griezmann does not sign for #MUFC this summer, we will give everyone who retweets this 20 euro. That's how confiden…"
870777986857021440,2017-06-02 23:03:44,RT @ManUtdReport_: Antoine Griezmann has accepted a new contract at Atletico. [AS] #MUFC
870777974089560064,2017-06-02 23:03:41,"RT @UtdUniverse: Gareth Bale - World Class. #MUFC 
 https://t.co/Gv1ctpFqwA"
870777940975521792,2017-06-02 23:03:34,RT @GrahamBarry1: Perfect gif for describing how watching United feels these days #MUFC #EuropaLeague https://t.co/CYBNpPFteW
870777924873531392,2017-06-02 23:03:30,RT @FULLTIMEREDS: Anderson will attend Michael Carrick's testimonial but can't play due to injury. [M.E.N] #MUFC
870777918955282432,2017-06-02 23:03:28,"RT @utdxtra: Throwback to when Sir Alex congratulated @Cristiano on winning Euro 2016.

Ronaldo’s reaction… Love it!  #mufc https://t.co/9N…"
870777871022870528,2017-06-02 23:03:17,"RT @transfernews511: If Griezmann does not sign for #MUFC this summer, we will give everyone who retweets this 20 euro. That's how confiden…"
870777867445166080,2017-06-02 23:03:16,RT @krissmoha: Anderson-son-son ❤️ #mufc https://t.co/cO4iL2gpSN
