id,created_at,text
870429265808039937,2017-06-01 23:58:03,Python Coded Space Debris/Satellite Evolution https://t.co/9Azsh8fliW #Python   submitted by   /u/christophertacon[link]   [comments]
870429221251801088,2017-06-01 23:57:52,Announcing the first working version of pyworker: A pure #Python worker for #Ruby-based #DelayedJobs https://t.co/mnZY8XKBx1
870428929072431104,2017-06-01 23:56:43,RT @pythonbot_: Spark Graphx In Action  https://t.co/xRKvWnEB01 #machine #learning #python @pythonbot_
870428743428263936,2017-06-01 23:55:58,Spark Graphx In Action  https://t.co/xRKvWnEB01 #machine #learning #python @pythonbot_
870428740982943745,2017-06-01 23:55:58,Beginning Python Visualization: Crafting Visual Transformation Scripts  https://t.co/kZdZqbfGfB #software #development #python @pythonbot_
870428518735380482,2017-06-01 23:55:05,Wrangle your data with #Python - O'Reilly Media  https://t.co/N2vDrpy6er
870428443330191360,2017-06-01 23:54:47,"Sharing intersection of physics and #python programming BC ""physics is awesome"" @arowanhill @MonticelloHigh #acps https://t.co/z3IQIvsbfn"
870427843360157697,2017-06-01 23:52:24,"RT @DevopsInfo1: #python Python Programmming Guides, Tutorials, Web ...
 #DevOps #Linux #JavaScript 
https://t.co/5aUT5AqiD5 https://t.co/3…"
870427798183096321,2017-06-01 23:52:13,"RT @kdnuggets: 60+ #Free #Books on #BigData, #DataScience, #DataMining, #MachineLearning, #Python, R, and more #KDN https://t.co/mkXt0ATfnm…"
870427765736132609,2017-06-01 23:52:05,WEBINAR: Introducción a Big Data en #Python con PySpark. 7 de junio ¡Te esperamos! https://t.co/DdXt4BbDHS https://t.co/9wU00pq4Dj
870427435895889920,2017-06-01 23:50:47,"RT @DevopsInfo1: #python Python Programmming Guides, Tutorials, Web ...
 #DevOps #Linux #JavaScript 
https://t.co/5aUT5AqiD5 https://t.co/3…"
870427313829269506,2017-06-01 23:50:18,"RT @randal_olson: TPOT 0.8 is out on pip, now with missing data support &amp; shiny API docs!

#Python #MachineLearning #DataScience

https://t…"
870426738739875840,2017-06-01 23:48:00,No module named pkg_resources #python #django #virtualenv #setuptools #pip https://t.co/ktnhw6nqDD
870426418718572544,2017-06-01 23:46:44,"critchfield mainswear
 by Jared Haer
Random Effect Study
#Python #digitalart #GIMP https://t.co/YQ5l5SDyXC"
870426290909786112,2017-06-01 23:46:14,#77days #python not much going on today . recalling what i have learned so far
870426021039886336,2017-06-01 23:45:09,This Hours Photo: #weather #minnesota #photo #raspberrypi #python https://t.co/Jsr1py1fb2
870425996465451012,2017-06-01 23:45:03,"Trend Crawler: added 7 trending topics to DB, total 6976. #LuckyAI #BigData #Python"
870425983702233088,2017-06-01 23:45:00,Display number with leading zeros #python #string-formatting https://t.co/mPGeYwUn0Z
870425619011710976,2017-06-01 23:43:33,RT @tuto_Arduino_: Utiliza #Python con tu #arduino: Introducción a la programación de Arduino con Python https://t.co/zOhP7lKN5f via CyberH…
870425454188126208,2017-06-01 23:42:54,"RT @TheFordFiesta: No unauthorized text messages have been received today, That makes it a good day. #Python"
870425397103644675,2017-06-01 23:42:41,RT @PythonQnA: Converting from a string to boolean in Python? #python #string https://t.co/GZDwWiUqIq
870425228647833600,2017-06-01 23:42:00,Converting from a string to boolean in Python? #python #string https://t.co/GZDwWiUqIq
870425122137665537,2017-06-01 23:41:35,"No unauthorized text messages have been received today, That makes it a good day. #Python"
870424955569176577,2017-06-01 23:40:55,"RT @ipfconline1: Cheat Sheet: #Python Basics For #DataScience 
https://t.co/caZZabEOqc       [via @DataScienceCtrl] https://t.co/mYpUq2gUyo"
