id,created_at,text
870750949391962112,2017-06-02 21:16:18,RT @GretaAstpc: 📍For the first time #Vietnam makes a little step against #DogMeatTrade @SoiDogsCanada invited 2 the meeting Congrats https:…
870750766033752064,2017-06-02 21:15:35,RT @pwihub: The right to protest and speak out against the government is subject to intense persecution #Vietnam #humanrights https://t.co/…
870750666838429696,2017-06-02 21:15:11,"""... the power of creativity may extend to the expression, pain and redemption of love itself.""… https://t.co/1JMMLcS2wo"
870750639659397120,2017-06-02 21:15:04,#vietnam girls naked photo porn film company https://t.co/DpMxuTwLGJ
870749975810068481,2017-06-02 21:12:26,RT @GretaAstpc: 📍For the first time #Vietnam makes a little step against #DogMeatTrade @SoiDogsCanada invited 2 the meeting Congrats https:…
870749638835531776,2017-06-02 21:11:06,RT @FightDogMeat: #VIETNAM: 6 DOGS HEADING TO DOG SLAUGHTERHOUSE: https://t.co/T56bMclOah #fightdogmeat #dogmeat #animalcruelty #dog https:…
870749489237307392,2017-06-02 21:10:30,RT @Travelodium: Banh Mi great street food that you can find everywhere in Hoi An #vietnam #hoian #foodporn https://t.co/YlGRV1JOvy https:/…
870749220487045120,2017-06-02 21:09:26,Are you following us on Instagram? We're sharing our story through photos - come check us out! #FF #health #vietnam… https://t.co/oxGElPk75h
870749112882393089,2017-06-02 21:09:00,"RT @StateDept: Sec. Tillerson &amp; #Vietnam's Prime Minister Nguyen Xuan Phuc met earlier at @StateDept.
Later today, @POTUS will host the PM…"
870749053432221696,2017-06-02 21:08:46,「Cô ấy nói rằng cô ấy nấu ăn giỏi」の日本語訳は？ https://t.co/Qgeh7bUbq2  #ベトナム語 #vietnam → 彼女は料理が得意だと言っています。
870748979591512064,2017-06-02 21:08:29,"Learning about #Trump as #Vietnam and the United States Make Nice for Now, but Disappointment Looms  https://t.co/QKBcWt3zuH via @CFR_org"
870748954631315456,2017-06-02 21:08:23,"RT @SenJohnMcCain: Honored to visit USS John S McCain in Cam Rahn Bay #Vietnam, named for my dad &amp; grandfather, 1st father-son to attain 4-…"
870748818287013888,2017-06-02 21:07:50,"RT @SenJohnMcCain: Great to return to #Vietnam this wk- showed my colleagues around Hoa Lo Prison aka the ""Hanoi Hilton"" which has been con…"
870748285593677824,2017-06-02 21:05:43,【VIET-JO】 越谷のイオンで「ベトナム・ハノイフェア」開催、6月5日〜11日  https://t.co/smSeexZS3x #ベトナム #Vietnam
870748254190936065,2017-06-02 21:05:36,"What is Chronic Inflammatory Demyelinating Polyneuropathy (CIDP)? #VA #Vietnam veterans 
#neuropathy  https://t.co/IOUu61GC0P"
870748151031844865,2017-06-02 21:05:11,RT @GretaAstpc: 📍For the first time #Vietnam makes a little step against #DogMeatTrade @SoiDogsCanada invited 2 the meeting Congrats https:…
870747921133834240,2017-06-02 21:04:16,Hendersonville #Police said #Vietnam Vets Blvd. near Exit 14 has reopened following a tanker crash. https://t.co/MkrETRYhlw
870747874539298817,2017-06-02 21:04:05,Banh Mi great street food that you can find everywhere in Hoi An #vietnam #hoian #foodporn https://t.co/YlGRV1JOvy https://t.co/gy2UYVtEkx
870747852431142912,2017-06-02 21:04:00,RT @pwihub: The right to protest and speak out against the government is subject to intense persecution #Vietnam #humanrights https://t.co/…
870747683887095808,2017-06-02 21:03:20,"RT @SenJohnMcCain: A portrait of my father &amp; grandfather in the wardroom of USS John S McCain, on a port call in #Vietnam https://t.co/i2aj…"
870747520745562112,2017-06-02 21:02:41,"APH Vietnam 
#red #black #line #inking #aphvietnam #vietnam #APH #hetalia #fanart #artwork #artstyle #art #style https://t.co/5gv4UaPCbq"
870747052401152000,2017-06-02 21:00:49,Vietnam: Homedy realty portal gains funding from Japan's Genesia Ventures https://t.co/YQN0to4WXe #vietnam #proptech #startupVN #realestate
870747016971788288,2017-06-02 21:00:41,@UNHCRCanada @Erla_Grace_ @AzadehTamjeedi @lizmulhall @giselenyembwe @ACNURamericas @DeniseOtis6 @lonelyplanet… https://t.co/cApjr0jGWc
870746338660626432,2017-06-02 20:57:59,"RT @SenJohnMcCain: A portrait of my father &amp; grandfather in the wardroom of USS John S McCain, on a port call in #Vietnam https://t.co/i2aj…"
870744066165805056,2017-06-02 20:48:57,The latest Daily Indo-China via yhosen! https://t.co/FgnT25ocDJ Thanks to @DFDLLegalandTax @emi21williams @kln_nurv #vietnam #travel
870743549578543106,2017-06-02 20:46:54,"RT @AftabAttar4: A Muslim woman forcefully raped bye Railway police in running train at bijnor, India
#France 
#China 
#Vietnam 
#Japan htt…"
870743130680696832,2017-06-02 20:45:14,Anti- Imperialist U: Ted Shackley A Life in the #CIA https://t.co/CEtcByq3SU #Australia #Iran #Egypt #Germany #Cuba #Laos #Vietnam #UK #US
870742664940933120,2017-06-02 20:43:23,"@nhutranHELEN524 yes, i care fo rv= #vietnam i care hwo matters to sruvive form there to here, from here to there,… https://t.co/kDp09OuQOM"
870742519595716608,2017-06-02 20:42:48,"Some ""Class A Criminals"" were actually Human Rights Champions
https://t.co/TUDyRnhXfw
#India #Indonesia #Philippines #Vietnam #Taiwan"
870742477321326594,2017-06-02 20:42:38,RT @moodysally1: #Dogs r stolen 4 #DOGMEATTRADE everyday #China #SouthKorea #Vietnam #Indonesia #Pets #SPEAKOUT #STOPYULIN2017 #DOGSARENOTF…
870742341698629632,2017-06-02 20:42:06,RT @FourPawsUK: Pls don't forget to sign &amp; RT our petition to end bear farming in #Vietnam? https://t.co/h7SYmScLwb  #saddestbears https://…
870742315383439361,2017-06-02 20:42:00,Anti- Imperialist U: Interview with Douglas Valentine: The #CIA As Organized Crime https://t.co/w3xyB6LuzM #Vietnam #Iraq #Syria #UK #US
870741204929044485,2017-06-02 20:37:35,"RT @SenJohnMcCain: Honored to visit USS John S McCain in Cam Rahn Bay #Vietnam, named for my dad &amp; grandfather, 1st father-son to attain 4-…"
870741030974349312,2017-06-02 20:36:54,"RT @SenJohnMcCain: Honored to visit USS John S McCain in Cam Rahn Bay #Vietnam, named for my dad &amp; grandfather, 1st father-son to attain 4-…"
870740857753915393,2017-06-02 20:36:12,#vietnam fuck gay punjabi nude photos https://t.co/ESggkuvHHJ
870740780595281920,2017-06-02 20:35:54,"@nhutranHELEN524 i should be the workler of #vietnam i thought about, if we wer;en;pt born to come  here, ,adn he;s… https://t.co/tSkzKhYoDW"
870740634813972480,2017-06-02 20:35:19,"RT @nhutranHELEN524: @Vivianapham43 yes #vietnam so,"
870740417695825920,2017-06-02 20:34:27,RT @ChrisCoons: Was such an honor to visit the USS John S McCain in #Vietnam with @SenJohnMcCain and @SenJohnBarrasso https://t.co/vFcm2Dnl…
870740412511789056,2017-06-02 20:34:26,"RT @WelcomeVietNam: Somewhere in #Vietnam!!! - #QuyNhon city 😘🛥️☺️
#WelcomeVietnam #BinhDinh #AmazingVietnam https://t.co/f7wg76JjlL"
870740303090638848,2017-06-02 20:34:00,"RT @SenJohnMcCain: A portrait of my father &amp; grandfather in the wardroom of USS John S McCain, on a port call in #Vietnam https://t.co/i2aj…"
870740288624635904,2017-06-02 20:33:57,Danh sách diễn viên Việt Nam #vietnam #bhive https://t.co/mrA0F7MPm4
870740219250737157,2017-06-02 20:33:40,"RT @SenJohnMcCain: A portrait of my father &amp; grandfather in the wardroom of USS John S McCain, on a port call in #Vietnam https://t.co/i2aj…"
870739967391281157,2017-06-02 20:32:40,RT @michaelrabone: Magical skies from my Asia travels.🌤️ #cambodia #thailand #philippines #vietnam #sunset #sunrise #snrtg #500pxrtg #pinto…
870739803431518208,2017-06-02 20:32:01,"RT @SenJohnMcCain: A portrait of my father &amp; grandfather in the wardroom of USS John S McCain, on a port call in #Vietnam https://t.co/i2aj…"
870739767259942912,2017-06-02 20:31:52,"RT @SenJohnMcCain: Honored to visit USS John S McCain in Cam Rahn Bay #Vietnam, named for my dad &amp; grandfather, 1st father-son to attain 4-…"
870739172264488960,2017-06-02 20:29:30,RT @pwihub: The right to protest and speak out against the government is subject to intense persecution #Vietnam #humanrights https://t.co/…
870738791345958912,2017-06-02 20:28:00,Anti- Imperialist U: Doug Valentine on the #CIA Drugs &amp; #Media https://t.co/gQRpk0qa6C #Vietnam #Iraq #Syria #WarOnDrugs #NYT #UK #US
870738658957176833,2017-06-02 20:27:28,"RT @Koreandogs: SIGN PETITION✏ Animal Planet - Help Us Stop The Illegal #DogMeatTrade in #SouthKorea, #China and #Vietnam✔https://t.co/xS4F…"
870738373417324545,2017-06-02 20:26:20,RT @AxelKoster: #AxelJob  Director of  #Engineering #Resort  #Opening #Vietnam #Asia#Job  #YouTube https://t.co/5hO0p7TmDp https://t.co/HkT…
870738065806983170,2017-06-02 20:25:07,"Where To Eat In Hoi An, Vietnam https://t.co/XEfjyubfBA @libbyandmarcel #vegan #vegantravel #veganfood #vietnam #hoian"
870737932130197504,2017-06-02 20:24:35,"https://t.co/rlaf4UqgeP
#JEPANESE
#VIETNAM
#THAILAND
#AMERIKA
#MALAYSIA
#INDONESIA
#INGGRIS
#ITALY
#AUSTRALIA… https://t.co/sQIKEGofzd"
870736840780861440,2017-06-02 20:20:15,Vietnam - Southeast Asia on a Shoestring (PDF Chapter) Lonely Planet https://t.co/sgF3oMPV9g #travel #lp #vietnam
870736321077284864,2017-06-02 20:18:11,RT @kambrone64: #Vietnam Police Special Force Martial Show https://t.co/Lk9KjExMz8
870735980885667840,2017-06-02 20:16:49,RT @ChrisCoons: Was such an honor to visit the USS John S McCain in #Vietnam with @SenJohnMcCain and @SenJohnBarrasso https://t.co/vFcm2Dnl…
870735946580348928,2017-06-02 20:16:41,"@vnhealthclinic Yes we do, your org does great work in #Vietnam! We will reach out soon. .@vnhealthclinic"
870735867244982272,2017-06-02 20:16:22,RT @Ratchapon97: #ทริปซื้อกินอินเวียดนาม #Vietnam เขาเรียกที่นี่ว่าฮาลองบก https://t.co/S6OwdeIlxJ
870735573111238656,2017-06-02 20:15:12,"""In Jordan's story, wars can be personal struggles as well as political conflicts "" https://t.co/a1DmgFUgwC #PTSD… https://t.co/O3ajb9A0a9"
870734611118260224,2017-06-02 20:11:23,RT @sourcestudioco: We decided to join @Fash_Rev #IMadeYourClothes. Here is one of our #PatternMakers #vietnam . Proud to turn  your #SS18…
870734505132400641,2017-06-02 20:10:58,RT @pwihub: The right to protest and speak out against the government is subject to intense persecution #Vietnam #humanrights https://t.co/…
870734078600806400,2017-06-02 20:09:16,"RT @SenJohnMcCain: A portrait of my father &amp; grandfather in the wardroom of USS John S McCain, on a port call in #Vietnam https://t.co/i2aj…"
870733960640319488,2017-06-02 20:08:48,「Bạn chọn cái này hay là cái kia?」の日本語訳は？ https://t.co/JAWzZE2DtI  #ベトナム語 #vietnam → これにしますか、あれにしますか？
870733261961650176,2017-06-02 20:06:01,Visiting #Vietnam soon? Here is a complete 2 week itinerary! - The Orient Excess https://t.co/90oKNdwBxb #travel https://t.co/FlPz4ZrO6s
870733162435022849,2017-06-02 20:05:38,RT @ChrisCoons: Was such an honor to visit the USS John S McCain in #Vietnam with @SenJohnMcCain and @SenJohnBarrasso https://t.co/vFcm2Dnl…
870733130121961472,2017-06-02 20:05:30,TRUE HISTORY https://t.co/NZC1Yv1zXB #Thailand #Singapore #Vietnam #India #Asia #Peru #Philippines #Brazil #Chilie #Mexico #Australia #UNSG
