,user,id,created_at,text
0,RussShaw1,851024457602932736,2017-04-09 10:50:16,Many great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ @JChakraverty @cape @fundinglondon
1,RussShaw1,851024891080056832,2017-04-09 10:51:59,Many great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ @UKBAngels @SyndicateRoom @eileentso
2,RussShaw1,851025375694131200,2017-04-09 10:53:55,Great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ @AnnaBoffetta @SimonJCalver @DannyLopez_UK
3,RussShaw1,851025599435075585,2017-04-09 10:54:48,Many great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ @AmadeusCapital @manishmadhvani
4,RussShaw1,851026462127915008,2017-04-09 10:58:14,Great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ Karen @beringea & Philippe @CreditSuisse
5,RussShaw1,851027005067976704,2017-04-09 11:00:23,Many great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ Jeff @Seedrs @sibelsham @ParisPetgrave
6,RussShaw1,851027182315032576,2017-04-09 11:01:06,Many great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ @JdR_Tech @debusultan @MischaDohler
7,RussShaw1,851027541120999425,2017-04-09 11:02:31,Great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … w/ @DanielKorski @OliBarrett @michaelhayman
8,RussShaw1,851027615410524162,2017-04-09 11:02:49,Many great speakers .@TechLondonAdv #InvestorShowcase 11th May  @hereeast https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 … including John Zai @Cocoon_Networks
9,ParisPetgrave,851461235384213504,2017-04-10 15:45:52,If you haven't done so already get your tickets for the @TechLondonAdv #investorshowcase 11th May @hereeast #UKtech @rareseedcapitalhttps://twitter.com/RussShaw1/status/851027005067976704 …
10,Geekzonia,851868760688513024,2017-04-11 18:45:14,It's been a successful 1st day for @carinageek & @geekzoniasteve down at @VRWorldCongress! Excited for tomorrows #InvestorShowcase pitch #VRpic.twitter.com/XLqMr2RvuD
11,LCarvalhoSe,852104218441863168,2017-04-12 10:20:51,On the panel for @VRWorldCongress #investorshowcase #VRWC17 -- look forward to hearing the pitches!pic.twitter.com/7hAfG1XDh2
12,janetcoyle2,852436751390060544,2017-04-13 08:22:13,Sign up now for the largest @TechLondonAdv event #investorshowcase @GotoGrow_London @SVC2UK @TLA_Scaleup https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021?utm-medium=discovery&utm-campaign=social&utm-content=attendeeshare&aff=estw&utm-source=tw&utm-term=listing …
13,RussShaw1,854930588104577024,2017-04-20 05:31:50,Speakers Announced for .@TechLondonAdv #InvestorShowcase 11th May: http://mailchi.mp/dfd736c9857d/tla-investor-showcase-speakers-announced-for-11th-may-event?e=d88a8687e9 …  Three weeks to go...please register
14,RussShaw1,854930952283459584,2017-04-20 05:33:17,.@TechLondonAdv:  your email announcing speakers for 11th May #InvestorShowcase is in your inbox @TLAWomeninTech @TLAFintech @TLA_China
15,RussShaw1,854931090934562816,2017-04-20 05:33:50,.@TechLondonAdv:  your email announcing speakers for 11th May #InvestorShowcase is in your inbox @TLA_RetailTech @TLA_Scaleup @TLA_CreaTech
16,RussShaw1,857965008852054018,2017-04-28 14:29:32,Hello .@TechLondonAdv: Your April update is in your inbox...please complete the survey for the #InvestorShowcase
17,Jennifer_Arcuri,861838117296365569,2017-05-09 06:59:53,Make sure u head over to @hereeast @TechLondonAdv #investorShowcase #May11 http://bit.ly/2orD790  as  go to #tech event in #LDN this week
18,EwelinaBlachut,861895607417548802,2017-05-09 10:48:20,"Excited to visit @TechLondonAdv with @mrleesnoodles @DamienleeLee @xszamankax #investorShowcase @RussShaw1 @GlobalTechAdv @hereeast
#tech"
19,EwelinaBlachut,861896137917202432,2017-05-09 10:50:27,See you on Thursday with @mrleesnoodles @DamienleeLee @xszamankax @TechLondonAdv #investorShowcase @RussShaw1 @GlobalTechAdv @hereeast
20,SObedih,861928840062533632,2017-05-09 13:00:23,Tech London Advocates @TechLondonAdv  presents  #InvestorShowcase https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021by … led by @RussShaw1 including  @rareseedcapital
21,Plexalcity,862247509338587136,2017-05-10 10:06:40,Looking forward to meeting London's tech ecosystem tomorrow! @InvestorShowcase @hereeast #Investorshowcase #TLApic.twitter.com/2G65gTJT19
22,TechLondonAdv,862249997215182849,2017-05-10 10:16:33,"""Is #Macron a threat to London tech dominance?"" @RussShaw1 speaks to @JamieNimmo63 ahead of the #InvestorShowcase https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 …"
23,TechLondonAdv,862296856856068097,2017-05-10 13:22:46,"@joonian Hi Joon, will we see you at tomorrow's #InvestorShowcase? https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-tickets-32604528021 …"
24,PensionHub,862305004685844481,2017-05-10 13:55:08,Looking forward to the @TechLondonAdv #Investorshowcase @HereEast tomorrow. Find out how we are planning to take the pain out of #pensions.
25,TechLondonAdv,862358493222895621,2017-05-10 17:27:41,We have a 50:50 gender breakdown for speakers at our #InvestorShowcase event tomorrow :)
26,xszamankax,862417965379178497,2017-05-10 21:24:00,Early start tomorrow (5:30am!) with @mrleesnoodles for the @TechLondonAdv‘s #InvestorShowcase. Hope to see you  @HereEast #LondonTech 
