,user,id,created_at,text
0,AnthonyMorganti,862822389993934849,2017-05-12 00:11:02,Photo Critique - Episode 79 - #Photography #Lightroom #Photoshophttp://tinyurl.com/grj4hyf 
1,SLRLounge,862824832278429697,2017-05-12 00:20:45,Lightroom Faster | Match Total Exposure Vs. Synching Edits http://bit.ly/2q7mZOt  #lightroom
2,PhotoWorkout,862824993243234308,2017-05-12 00:21:23,"Download The Best FREE Lightroom Presets https://photoworkout.com/best-free-lightroom-presets/ …
#Lightroom #Presets #Photographypic.twitter.com/2871mwJxH0"
3,willwphoto,862825253352992768,2017-05-12 00:22:25,Lightroom Faster | Match Total Exposure Vs. Synching Edits http://bit.ly/2q7mZOt  #lightroom
4,LumoidIt,862825938295427072,2017-05-12 00:25:08,Make your low-light photos pop with our @Lightroom tutorial: https://goo.gl/OI73s9  #photography #lightroom pic.twitter.com/U352zZuzQK
5,chaffinyo,862829304664788993,2017-05-12 00:38:31,#lightroom thank god for the gorilla pod http://ift.tt/2pDXFN2 pic.twitter.com/P6kmmtRCk2
6,lrpresetshoppe,862830194993885184,2017-05-12 00:42:03,You Need This If You Are A Pro Photog! -> http://bit.ly/1VX70es  #lightroom #wedding #photographypic.twitter.com/Ms4J0RQhRr
7,mayazksa,862830338816581632,2017-05-12 00:42:38,"I just downloaded the 5 FREE ""VAN"" Presets for Adobe #Lightroom by @stevenvan_ http://youtu.be/yyFpVM9-XE4  http://slfy.co/p/SKD1  via @Sellfy"
8,skinnyghost,862831816989786112,2017-05-12 00:48:30,[LIVE] chill editing stream | #photography #lightroom @ http://twitch.tv/adamkoebel pic.twitter.com/TTP8ma7mNK
9,shotkit,862832258843123712,2017-05-12 00:50:15,Finding it hard to remember all your #Lightroom & #Photoshop shortcuts? This virtual keyboard will help! http://bit.ly/2nCdsxa pic.twitter.com/lxzxmpWj6R
10,AnthonyMorganti,862837511000903681,2017-05-12 01:11:08,"Lightroom Quick Tips - Episode 45: ""Layering"" Images - #Photography #Lightroom #Photoshophttp://tinyurl.com/jl6eqzr "
11,Julian_Phoenix_,862838468837335040,2017-05-12 01:14:56,"Maggy Pachas, actriz. #portrait #book #lightroom @ San Borja, Lima, Peru https://www.instagram.com/p/BT-TXhOltNS/ "
12,RafaWriter,862846373271658496,2017-05-12 01:46:20,chill editing stream | #photography #lightroom | !photo #twitchclips @skinnyghost https://clips.twitch.tv/DirtyIncredulousGrassKappaPride … @bluejay_712
13,reqirangga,862849567901065217,2017-05-12 01:59:02,"A self reminder for us to keep cautious all the time on the road

#sony #50mm #lightroom… https://www.instagram.com/p/BT-YawChh5Y/ "
14,chikuchiku1919,862850953229348864,2017-05-12 02:04:32,"・
koinobori
・
・
・
・
・
・
・
・
・
・
#koinobori #japan
#potd #lightroom
#vsco #vscocam #vscolife… https://www.instagram.com/p/BT-ZC9ODbES/ "
15,AnthonyMorganti,862852632993464320,2017-05-12 02:11:13,Lightroom Quick Tips - Episode 50: Match Total Exposures - #Photography #Lightroom #Photoshophttp://tinyurl.com/hgoegln 
16,JonathanDennill,862858530272952320,2017-05-12 02:34:39,"Final result! Ow ow!!!! Damn Kenz! @kenzyism
#Sephora #Matrix #Redken #LA #Actress #Model #Brunette #Canon70D #Lightroom pic.twitter.com/NX9U2EjWun"
17,serge_labbe,862859437287067650,2017-05-12 02:38:15,Bonne nuit : #VieuxQuébec #Lightroom #Image #Canon #Flickr #Photo #Photography #Picture #PhotoDeRue #LaNuitpic.twitter.com/p385KXpN0t
18,rifki_tweets,862861626092830720,2017-05-12 02:46:57,#Ella #EllaRock #VisitElla #rifkisubhan #iphone #nikon #lightroom http://fb.me/82wOAZKJO 
19,AnthonyMorganti,862867965322166272,2017-05-12 03:12:08,Free Lightroom Keyboard Shortcuts Cheat Sheet - #Photography #Lightroom #Photoshophttp://tinyurl.com/z4lgnhx 
20,nicwillox,862870530218655744,2017-05-12 03:22:20,"Lightroom • 
#vsco #vscocam #lightroom #light #idea #search #where https://www.instagram.com/p/BT-h82mgJUt/ "
21,manuelvrj,862877846930432002,2017-05-12 03:51:24,Finally a good sweeps #night #Photo #photography #LightRoom #Canon https://www.instagram.com/p/BTwbIv1Fqcf/ 
22,manuelvrj,862877879440465921,2017-05-12 03:51:32,Something I like to photograph is the architecture. #photography #Photo #architecture #LightRoom… https://www.instagram.com/p/BTwZSMSFMQ_/ 
23,manuelvrj,862877920620154880,2017-05-12 03:51:42,Session too improvised but it went very well #Photo #photography #session #LightRoom #Canon… https://www.instagram.com/p/BTnHmgWlntw/ 
