,user,id,created_at,text
0,AlekseyV1983,862820654751637504,2017-05-12 00:04:09,"#поиск #пропал #помогитенайти #репост #регистратор #камер #фото #видео #россия #спб
https://vk.com/wall773768_800 
https://vk.com/club121435340 pic.twitter.com/mV7SBhkQU2"
1,Fedora73Danil,862833215530205184,2017-05-12 00:54:03,"– Сема, ты мне полтинник должен.

– Ладно, запиши на мой счет.

– Хорошо, прибавлю к тем 100... #Анекдот #Шутка #Юмор #Видео #Фото"
2,smi1info,862842270776741888,2017-05-12 01:30:02,https://smi1.info/14313-quot-itogi-dnya-quot-10-maya-2017-goda.html … &quot;Итоги дня&quot;. 10 мая 2017 года #news #новости #видео #smi1 #СМИ1pic.twitter.com/Vb51ty81PC
3,Fedora73Danil,862845797888659456,2017-05-12 01:44:03,"– Могу ли я рассчитывать на лояльность вашего банка к себе при получении кредита?

– Вы разве... #Анекдот #Шутка #Юмор #Видео #Фото"
4,AlekseyV1983,862852822324457472,2017-05-12 02:11:58,"#поиск #пропал #помогитенайти #репост #регистратор #камер #фото #видео #россия #спб
https://vk.com/wall773768_800 
https://vk.com/club121435340 pic.twitter.com/Y9cbRTwN4J"
5,zvezdanews,862854163549573120,2017-05-12 02:17:18,"Под Петербургом технику и живую силу «противника» уничтожили Т-72 и Т-90. #Видео
http://tvzvezda.ru/news/forces/content/201705120433-xen8.htm …
#армия #ленобласть #танкиpic.twitter.com/07RBdqyeOI"
6,Fedora73Danil,862855373362999296,2017-05-12 02:22:06,"В одном корпоративном банке были очень стойкие и непоколебимые традиции, т. е. сложившаяся... #Анекдот #Шутка #Юмор #Видео #Фото"
7,smi1info,862857372800348160,2017-05-12 02:30:03,https://smi1.info/13881-putin-provodit-torzhestvennyy-priem-v-kremle-v-chest-72-y-godovschiny-.html … Путин проводит торжественный приём в Кремле в честь 72-й годовщины Победы в ВОВ #news #новости #видео #smi1 #СМИ1pic.twitter.com/ie0d2Lt92p
8,novosteycom,862871943409786880,2017-05-12 03:27:57,ALEKSEEV представил новый клип #видео http://novostey.com/society/news794507.html … #ua
9,5tv,862873619336245248,2017-05-12 03:34:36,Девушки с низкой социальной ответственностью избили клиента #Видео на сайте http://www.5-tv.ru/news/127135/ pic.twitter.com/L6AAzhFJxT
10,5tv,862875125082972165,2017-05-12 03:40:35,Около тысячи спасателей борются с последствиями паводка в Тюменской области #Видео на сайте http://www.5-tv.ru/news/127139/  #МЧС #паводкиpic.twitter.com/uwuUSDNauR
11,Safina_Venera_,862875370529464320,2017-05-12 03:41:34,"Плей До пластилин.
ВИДЕО https://www.youtube.com/watch?v=XLbvZd9AuBE …
#MissAdeline #ПлейДо #Пластилин #Фигурки #Лепим #Игрушки #Toys #Видео #Подписывайтесьpic.twitter.com/acu8dSZfuc"
12,Fedora73Danil,862876504178532353,2017-05-12 03:46:04,"Сидят дедушка с внуком, сок пьют. Заходит мамаша:

– Вы слыхали? Американские акции опять... #Анекдот #Шутка #Юмор #Видео #Фото"
13,Safina_Venera_,862879646446211072,2017-05-12 03:58:33,"Русский алфавит.  
В https://www.youtube.com/watch?v=24LxUnF-vg0 …
#MissAdeline #Алфавит #Буква #УчимБуквы #Грамматика #Занятия #Дети3Лет #Видео #Подписывайтесьpic.twitter.com/9ZNvEoiGPr"
14,DA_info_pro,862880389651738625,2017-05-12 04:01:31,"Умная женщина никогда не кричит на мужчину, ей достаточно одного взгляда

#юмор #приколы #смех #видео #DA #картинкиpic.twitter.com/xscHb0vrcs"
15,Agent_Freedom,862883870487830529,2017-05-12 04:15:20,#9мая орки в георгиевских ленточках травят художницу-блокадницу Елену Осипову. #видео. http://ln.is/www.youtube.com/SiTh2 … через @youtube #Россия #дно
16,KardashMagdalin,862884514078617605,2017-05-12 04:17:54,Сердовидение http://peremogi.livejournal.com/28707806.html?utm_source=twsharing&utm_medium=social … #видео #тронныйзалинститутамозга #патриотическаяперемога
17,NTDRussian,862884719679111169,2017-05-12 04:18:43,#Видео Партия Макрона назвала кандидатов на выборы в парламент - http://ntdtv.ru/60173-partiya-makrona-nazvala-kandidatov-na-vybory-v-parlament …pic.twitter.com/1xpZo0ZKwh
18,videoexpru,862886674493255682,2017-05-12 04:26:29,"Сколько звонков приходит на одного посетителя, готового к покупке? #бизнес #видео #инфогарфка #лиды #продажи #конверсия #бм #бизнесмолодостьpic.twitter.com/i71wVxs9E8"
19,RIANUkraine,862887743432531968,2017-05-12 04:30:44,Второй полуфинал Евровидения-2017. Онлайн-трансляция http://dlvr.it/P73vnY  #Видео pic.twitter.com/YYHfpE6gHW
20,Fedora73Danil,862888379054149634,2017-05-12 04:33:15,"На улице Лондона пробка. Заметив полицейского, один из водителей спрашивает его:

– Что... #Анекдот #Шутка #Юмор #Видео #Фото"
21,rusjev,862890681592934400,2017-05-12 04:42:24,"Украинка на Чемпионате Европы по бодифитнесу стала победительницей (видео)
http://rusjev.net/2017/05/11/ukrainka-na-chempionate-evropyi-po-bodifitnesu-stala-pobeditelnitsey-video/ …
#Украина #видео #спорт"
22,KievNovosti,862891089686134785,2017-05-12 04:44:02,#Евровидение-2017: определились все #участники Гранд Финала(##Видео) https://goo.gl/fb/0i6AMF  #мир #новости
23,AlekseyV1983,862892273599741952,2017-05-12 04:48:44,"#поиск #пропал #помогитенайти #репост #регистратор #камер #фото #видео #россия #спб
https://vk.com/wall773768_800 
https://vk.com/club121435340 pic.twitter.com/cIaZW0L2Lt"
